index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,     95016221,        10000,          75,             22,                8,        2057,    253980,      0.00,     17.80,        8.90,               8,                  8
    1,             ,        10000,          75,             26,                8,        2065,    253980,      0.38,     18.17,        9.27,               8,                  8
    2,             ,        10000,          75,             22,                8,       34924,    253980,      0.00,     17.90,        8.95,               8,                  8
    3,             ,        10000,          96,             22,                8,        3065,    253980,      0.04,     17.82,        8.93,               8,                  8
    4,             ,        10000,          75,             22,                8,        3065,    253980,      0.00,     17.79,        8.89,               8,                  8
    5,             ,        10000,          75,             22,                8,        2925,    253980,      0.04,     17.81,        8.92,               8,                  8
    6,             ,        10000,          75,             22,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
    7,             ,        10000,          75,             22,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
    8,             ,         9838,          75,             23,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
    9,             ,        10162,          75,             22,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
   10,             ,        10000,          75,             22,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   11,             ,        10000,          75,             22,                8,            ,    253980,      0.38,     18.17,        9.28,               8,                  8
   12,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.91,        8.95,               8,                  8
   13,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
   14,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   15,             ,        10000,          75,               ,                8,            ,    253980,      0.03,     17.80,        8.92,               8,                  8
   16,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   17,             ,        10000,          75,               ,                8,            ,    253980,      0.03,     17.81,        8.92,               8,                  8
   18,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
   19,             ,         9838,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
   20,             ,        10162,          75,               ,                7,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   21,             ,        10000,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
   22,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
   23,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
   24,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   25,             ,        10000,          96,               ,                8,            ,    253980,      0.04,     17.83,        8.93,               8,                  8
   26,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   27,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
   28,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   29,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
   30,             ,         9838,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   31,             ,        10162,          75,               ,                8,            ,    253980,      0.38,     18.16,        9.27,               8,                  8
   32,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.90,        8.95,               8,                  8
   33,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
   34,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   35,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
   36,             ,        10000,          93,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   37,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
   38,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
   39,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.81,        8.92,               8,                  8
   40,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.80,        8.90,               8,                  8
   41,             ,         9838,          75,               ,                8,            ,    253980,      0.38,     18.17,        9.27,               8,                  8
   42,             ,        10162,          75,               ,                7,            ,    253980,      0.00,     17.91,        8.95,               8,                  8
   43,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
   44,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
   45,             ,        10000,          75,               ,                8,            ,    253980,      0.04,     17.82,        8.93,               8,                  8
   46,             ,        10000,          75,               ,                8,            ,    253980,      0.00,     17.79,        8.89,               8,                  8
