index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,95100445,9240,67,44,34,16785,100592,0.83,25.72,13.28,4,5
1,,9999,82,45,31,16785,100592,1.25,25.93,13.59,5,4
2,,10000,73,44,32,16785,100592,1.67,25.69,13.68,4,5
3,,10000,67,44,32,28785,100592,0.83,25.72,13.28,4,5
4,,10000,67,44,32,65807,100592,0.83,25.73,13.28,4,5
5,,10760,67,44,32,65807,100592,0.83,25.70,13.27,4,4
6,,9241,67,44,33,,100592,1.25,25.92,13.59,4,4
7,,9999,67,44,31,,100592,1.67,25.71,13.69,4,5
8,,10000,67,44,32,,100592,0.83,25.72,13.28,4,4
9,,10000,67,44,32,,100592,0.83,25.69,13.26,4,5
10,,10000,67,44,32,,100592,0.83,25.69,13.26,4,5
11,,10761,67,45,32,,100592,1.25,25.92,13.59,4,5
12,,9240,82,,34,,100592,1.67,25.72,13.70,5,4
13,,9999,73,,31,,100592,0.83,25.71,13.27,4,5
14,,10000,67,,32,,100592,0.83,25.70,13.27,4,5
15,,10000,67,,32,,100592,0.83,25.72,13.28,4,5
16,,10000,67,,32,,100592,1.25,25.93,13.59,4,5
17,,10761,67,,32,,100592,1.67,25.72,13.70,4,5
18,,9240,67,,34,,100592,0.83,25.71,13.27,4,4
19,,9999,67,,31,,100592,0.83,25.71,13.27,4,5
20,,10000,67,,32,,100592,0.83,25.72,13.28,4,5
21,,10000,67,,32,,100592,1.25,25.92,13.59,4,4
22,,10000,67,,32,,100592,1.67,25.70,13.69,4,5
23,,10760,82,,32,,100592,0.83,25.72,13.28,5,4
24,,9241,73,,34,,100592,0.83,25.72,13.28,4,5
25,,9999,67,,31,,100592,0.83,25.72,13.28,4,5
26,,10000,67,,32,,100592,1.25,25.95,13.60,4,5
27,,10000,67,,32,,100592,1.67,25.69,13.68,4,4
28,,10000,67,,32,,100592,0.83,25.69,13.26,4,4
29,,10761,67,,32,,100592,0.83,25.72,13.28,4,5
30,,9240,67,,33,,100592,0.83,25.69,13.26,4,5
31,,9999,67,,31,,100592,1.25,25.92,13.59,4,5
32,,10000,67,,32,,100592,1.67,25.72,13.70,4,5
33,,10000,67,,32,,100592,0.83,25.70,13.27,4,4
34,,10000,92,,32,,100592,0.83,25.71,13.27,5,5
35,,10761,73,,32,,100592,0.83,25.72,13.28,4,4
36,,9240,67,,34,,100592,1.26,25.96,13.61,4,5
37,,9999,67,,31,,100592,1.67,25.70,13.69,4,5
