index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,     95218506,        10000,          83,             76,               59,       22787,     85588,      1.42,     27.77,       14.60,               8,                 20
    1,             ,        10000,          83,             72,               59,       22799,     85588,      1.42,     27.77,       14.60,               8,                 20
    2,             ,        10000,          83,             72,               59,       22798,     85588,      1.73,     27.91,       14.82,               8,                 20
    3,             ,        10793,          83,             72,               59,       22798,     85588,      2.86,     27.77,       15.31,               8,                 20
    4,             ,         9208,          83,             72,               73,       22798,     85588,      1.42,     27.76,       14.59,               8,                 20
    5,             ,         9999,          83,             72,               59,       22798,     85588,      1.42,     27.77,       14.60,               8,                 20
    6,             ,        10000,          83,             72,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
    7,             ,        10000,          83,             72,               59,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
    8,             ,        10000,          83,             72,               59,            ,     85588,      2.86,     27.76,       15.31,               8,                 20
    9,             ,        10793,         101,             72,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 21
   10,             ,         9208,          85,             72,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   11,             ,         9999,          83,             72,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   12,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   13,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.76,       15.31,               8,                 20
   14,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
   15,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   16,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   17,             ,         9999,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   18,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   19,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   20,             ,        10000,         100,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   21,             ,        10793,          85,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   22,             ,         9208,          83,               ,               73,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   23,             ,         9999,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   24,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   25,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   26,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   27,             ,        10793,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   28,             ,         9208,          83,               ,               73,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   29,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   30,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   31,             ,        10000,         101,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   32,             ,        10000,          85,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   33,             ,        10794,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   34,             ,         9207,          84,               ,               74,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   35,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
   36,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   37,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               9,                 20
   38,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   39,             ,        10793,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   40,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   41,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   42,             ,        10000,         109,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               9,                 21
   43,             ,        10000,          85,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   44,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   45,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   46,             ,         9208,          83,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   47,             ,         9999,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   48,             ,        10000,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   49,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   50,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   51,             ,        10793,          84,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   52,             ,         9208,          83,               ,               73,            ,     85588,      1.72,     27.91,       14.81,               8,                 20
   53,             ,         9999,         101,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 21
   54,             ,        10000,          85,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   55,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   56,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
   57,             ,        10794,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               9,                 20
   58,             ,         9207,          83,               ,               74,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   59,             ,         9999,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   60,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   61,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   62,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   63,             ,        10793,          83,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
   64,             ,         9208,         101,               ,               73,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   65,             ,         9999,          85,               ,               59,            ,     85588,      1.42,     27.76,       14.59,               8,                 20
   66,             ,        10000,          83,               ,               59,            ,     85588,      1.42,     27.77,       14.60,               8,                 20
   67,             ,        10000,          83,               ,               59,            ,     85588,      1.72,     27.91,       14.82,               8,                 20
   68,             ,        10000,          84,               ,               59,            ,     85588,      2.86,     27.77,       15.31,               8,                 20
