index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,60371426,1001217,1593,,,395850,215628,0.00,15.53,7.77,83,95
1,,1000217,73,,,395711,87512,0.00,15.53,7.77,4,17
2,,1000000,69,,,395711,87512,0.00,15.53,7.76,5,16
3,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
4,,1000000,69,,,,87512,0.00,16.50,8.25,5,16
5,,1000000,69,,,,87512,0.00,15.56,7.78,4,16
6,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
7,,999911,69,,,,87512,0.00,15.53,7.77,5,16
8,,999996,69,,,,87512,0.00,15.53,7.77,4,16
9,,999999,70,,,,87512,0.00,15.53,7.77,4,16
10,,1000001,69,,,,87512,0.00,15.53,7.77,5,16
11,,1000088,69,,,,87512,0.00,15.53,7.77,4,16
12,,1000005,69,,,,87512,0.00,15.53,7.77,4,16
13,,1000000,69,,,,87512,0.00,15.53,7.77,5,16
14,,1000000,69,,,,87512,0.00,15.53,7.77,4,16
15,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
16,,1000000,69,,,,87512,0.00,15.53,7.77,5,16
17,,1000000,69,,,,87512,0.00,15.53,7.77,5,16
18,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
19,,999911,69,,,,87512,0.00,15.53,7.77,5,16
20,,999996,69,,,,87512,0.00,15.53,7.77,4,17
21,,999999,70,,,,87512,0.00,15.53,7.77,4,16
22,,1000089,69,,,,87512,0.00,15.53,7.77,5,16
23,,1000005,69,,,,87512,0.00,15.53,7.77,5,16
24,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
25,,1000000,69,,,,87512,0.00,15.53,7.77,4,17
26,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
27,,1000000,70,,,,87512,50.00,15.54,32.77,4,16
28,,1000000,69,,,,87512,100.00,15.52,57.76,4,17
29,,1172618,69,,,,87512,100.00,15.51,57.75,4,16
30,,999423,70,,,,87512,100.00,15.52,57.76,4,16
31,,1001596,69,,,,87512,100.00,15.51,57.75,5,16
32,,999344,69,,,,87512,100.00,15.52,57.76,4,17
33,,1000000,70,,,,87512,100.00,15.48,57.74,4,16
34,,1000656,69,,,,87512,0.00,15.53,7.76,4,17
35,,999344,69,,,,87512,0.00,15.53,7.77,5,16
36,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
37,,1000656,69,,,,87512,0.00,15.53,7.77,5,16
38,,999344,69,,,,87512,0.00,15.53,7.77,5,16
39,,1000000,69,,,,87512,0.00,15.53,7.77,4,17
40,,1000656,69,,,,87512,0.00,15.53,7.76,4,16
41,,999344,69,,,,87512,0.00,15.53,7.77,4,17
42,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
43,,1000656,69,,,,87512,0.00,15.53,7.77,4,17
44,,999344,69,,,,87512,0.00,15.53,7.77,4,16
45,,1000000,70,,,,87512,0.96,16.35,8.65,4,16
46,,1000656,69,,,,87512,0.00,15.70,7.85,4,17
47,,999344,69,,,,87512,0.00,15.53,7.77,5,16
48,,1000000,69,,,,87512,0.00,15.53,7.77,4,16
49,,1000656,69,,,,87512,0.00,15.53,7.76,4,17
50,,999344,69,,,,87512,0.00,15.53,7.77,4,17
51,,1000000,70,,,,87512,0.00,15.53,7.77,4,16
52,,1000656,69,,,,87512,0.00,15.53,7.77,5,16
