index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, temp_c, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,    100169293,       101958,          61,            472,               75,      130927,  42.73,    133956,      0.00,     15.58,        7.79,               5,                  4
    1,             ,       100240,          62,            112,              102,       28650,  42.36,    133956,      0.00,     15.58,        7.79,               4,                  5
    2,             ,       100000,          61,            104,               71,       28650,  31.55,    133956,      3.32,     15.58,        9.45,               4,                  4
    3,             ,       100000,          61,            104,               71,       28650,  32.73,    133956,      0.00,     15.58,        7.79,               4,                  4
    4,             ,       100000,          61,            104,               71,       28650,  34.03,    133956,      0.00,     16.33,        8.16,               5,                  4
    5,             ,       100000,          61,            104,               71,       28650,  34.67,    133956,      0.00,     15.61,        7.80,               4,                  4
    6,             ,       100000,          61,            104,               71,       28650,  35.64,    133956,      0.00,     15.58,        7.79,               5,                  4
    7,             ,       100000,          61,            104,               71,       28650,  36.82,    133956,      0.00,     15.58,        7.79,               4,                  4
    8,             ,       100000,          61,            104,               71,       28650,  37.52,    133956,      0.00,     15.58,        7.79,               5,                  4
    9,             ,       100065,          61,            104,               71,      128658,  38.45,    133956,      0.00,     15.58,        7.79,               5,                  4
   10,             ,        99886,          61,            149,               71,      128658,  39.30,    133956,      3.33,     15.59,        9.46,               5,                  4
   11,             ,       100061,          61,             35,               87,      128658,  40.52,    133956,      0.00,     15.58,        7.79,               5,                  4
   12,             ,        99997,          61,            117,               71,      128658,  41.15,    133956,      0.00,     15.58,        7.79,               5,                  4
   13,             ,       100000,          61,            113,               71,      128658,  42.27,    133956,      0.00,     16.33,        8.16,               5,                  4
   14,             ,       100000,          62,            113,               71,      128658,  41.97,    133956,      0.00,     15.61,        7.80,               4,                  5
   15,             ,       100000,          61,            113,               71,      128658,  41.97,    133956,      0.00,     15.58,        7.79,               5,                  4
   16,             ,       100000,          61,            113,               71,      128658,  41.85,    133956,      0.01,     15.59,        7.80,               5,                  4
   17,             ,       100000,          61,            113,               71,      128658,  41.55,    133956,      0.00,     15.58,        7.79,               4,                  4
   18,             ,       100000,          61,            113,               71,      128658,  41.55,    133956,      0.00,     15.58,        7.79,               4,                  4
   19,             ,       100000,          61,            113,               71,      128659,  41.18,    133956,      3.32,     15.58,        9.45,               5,                  4
   20,             ,       100000,          61,            113,               71,      128658,  41.18,    133956,      0.00,     15.58,        7.79,               4,                  4
   21,             ,       100000,          61,            113,               71,      128658,  41.21,    133956,      0.00,     16.32,        8.16,               5,                  4
   22,             ,        99910,          61,            113,               71,      128658,  41.03,    133956,      0.01,     15.62,        7.81,               4,                  4
   23,             ,        99992,          61,             43,               71,      128658,  40.82,    133956,      0.00,     15.58,        7.79,               4,                  4
   24,             ,       100000,          61,             35,               71,      128658,  40.82,    133956,      0.00,     15.58,        7.79,               5,                  4
   25,             ,       100000,          61,             35,               71,      128658,  40.42,    133956,      0.00,     15.58,        7.79,               4,                  4
   26,             ,       100000,          61,             35,               71,      128658,  40.42,    133956,      0.00,     15.58,        7.79,               4,                  4
   27,             ,       100000,          61,             35,               71,      128658,  40.36,    133956,      3.32,     15.58,        9.45,               4,                  4
   28,             ,       100000,          61,             35,               71,      128658,  40.09,    133956,      0.00,     15.58,        7.79,               5,                  4
   29,             ,       100000,          61,             35,               71,      128658,  40.12,    133956,      0.00,     16.33,        8.16,               5,                  4
   30,             ,       100000,          61,             35,               71,      128658,  40.06,    133956,      0.00,     15.61,        7.80,               4,                  4
   31,             ,       100000,          61,             35,               71,      128658,  40.06,    133956,      0.00,     15.58,        7.79,               5,                  4
   32,             ,       100000,          61,             35,               71,      128658,  39.79,    133956,      0.00,     15.58,        7.79,               4,                  4
   33,             ,       100000,          61,             35,               71,      128658,  39.73,    133956,      0.00,     15.58,        7.79,               4,                  4
   34,             ,       100000,          61,             35,               71,      128658,  39.76,    133956,      0.01,     15.59,        7.80,               5,                  4
   35,             ,       100000,          61,             35,               71,      128658,  39.39,    133956,      3.32,     15.58,        9.45,               5,                  4
   36,             ,       100000,          61,             35,               71,      128658,  39.21,    133956,      0.00,     15.58,        7.79,               4,                  4
   37,             ,       100081,          61,             35,               71,      128658,  39.39,    133956,      0.00,     15.58,        7.79,               4,                  4
   38,             ,        99927,          61,             96,               71,            ,  38.94,    133956,      0.00,     16.33,        8.16,               4,                  4
   39,             ,        99992,          61,             43,               71,            ,  39.12,    133956,      0.00,     15.60,        7.80,               5,                  4
   40,             ,       100000,          61,             35,               71,            ,  40.09,    133956,      0.01,     15.59,        7.80,               4,                  4
   41,             ,       100090,          61,             35,               71,            ,  40.82,    133956,      0.00,     15.58,        7.79,               5,                  4
   42,             ,       100008,          61,            105,               71,            ,  41.82,    133956,      0.00,     15.58,        7.79,               4,                  4
   43,             ,       100000,          61,            113,               71,            ,  42.70,    133956,      0.00,     15.58,        7.79,               5,                  4
   44,             ,       100000,          61,            113,               71,            ,  42.61,    133956,      3.32,     15.58,        9.45,               5,                  4
   45,             ,        99999,          61,            113,               71,            ,  42.36,    133956,      0.00,     15.58,        7.79,               4,                  4
   46,             ,       100000,          61,            113,               71,            ,  42.39,    133956,      0.00,     16.33,        8.16,               5,                  4
   47,             ,       100001,          61,            113,               71,            ,  42.30,    133956,      0.00,     15.61,        7.80,               5,                  4
   48,             ,       100000,          61,            113,               71,            ,  41.94,    133956,      0.00,     15.58,        7.79,               4,                  4
   49,             ,       100000,          61,            113,               71,            ,  41.94,    133956,      0.00,     15.58,        7.79,               4,                  4
   50,             ,       100000,          61,            113,               71,            ,  41.58,    133956,      0.00,     15.58,        7.79,               4,                  4
   51,             ,       100000,          61,            113,               71,            ,  41.55,    133956,      0.00,     15.58,        7.79,               4,                  4
   52,             ,       100000,          61,            113,               71,            ,  41.67,    133956,      3.33,     15.59,        9.46,               5,                  4
   53,             ,       100000,          61,            113,               71,            ,  41.21,    133956,      0.00,     15.58,        7.79,               4,                  4
   54,             ,       100000,          61,            113,               71,            ,  41.18,    133956,      0.00,     16.33,        8.16,               4,                  4
   55,             ,        99910,          61,            113,               71,            ,  41.21,    133956,      0.00,     15.61,        7.80,               5,                  4
   56,             ,        99992,          61,             43,               71,            ,  40.76,    133956,      0.00,     15.58,        7.79,               4,                  4
   57,             ,       100000,          61,             35,               71,            ,  40.79,    133956,      0.00,     15.58,        7.79,               5,                  4
   58,             ,       100000,          61,             35,               71,            ,  40.94,    133956,      0.01,     15.59,        7.80,               4,                  4
   59,             ,       100000,          61,             35,               71,            ,  40.48,    133956,      0.00,     15.58,        7.79,               4,                  4
   60,             ,       100000,          61,             35,               71,            ,  40.48,    133956,      3.32,     15.58,        9.45,               4,                  4
   61,             ,       100000,          61,             35,               71,            ,  40.42,    133956,      0.00,     15.58,        7.79,               5,                  4
   62,             ,       100000,          61,             35,               71,            ,  40.12,    133956,      0.00,     15.58,        7.79,               4,                  4
   63,             ,       100000,          61,             35,               71,            ,  40.21,    133956,      0.00,     16.32,        8.16,               5,                  4
   64,             ,       100000,          61,             35,               71,            ,  40.09,    133956,      0.01,     15.62,        7.81,               4,                  4
   65,             ,       100000,          61,             35,               71,            ,  39.58,    133956,      0.00,     15.58,        7.79,               5,                  4
   66,             ,       100000,          61,             35,               71,            ,  39.88,    133956,      0.00,     15.58,        7.79,               5,                  4
   67,             ,       100000,          61,             35,               71,            ,  39.73,    133956,      0.00,     15.58,        7.79,               4,                  4
   68,             ,       100000,          61,             35,               71,            ,  39.91,    133956,      0.00,     15.58,        7.79,               5,                  4
   69,             ,       100000,          61,             35,               71,            ,  39.24,    133956,      2.57,     15.58,        9.08,               4,                  4
   70,             ,       100000,          61,             35,               71,            ,  39.33,    133956,      0.00,     15.58,        7.79,               4,                  4
   71,             ,       100000,          61,             35,               71,            ,  39.36,    133956,      0.00,     16.33,        8.16,               5,                  4
   72,             ,       100000,          61,             35,               71,            ,  39.09,    133956,      0.00,     15.61,        7.80,               5,                  4
   73,             ,       100081,          61,             35,               71,            ,  39.06,    133956,      0.00,     15.58,        7.79,               5,                  4
   74,             ,        99927,          61,             96,               71,            ,  38.88,    133956,      0.00,     15.58,        7.79,               4,                  4
   75,             ,        99992,          61,             43,               71,            ,  39.09,    133956,      0.00,     15.58,        7.79,               4,                  4
   76,             ,       100000,          61,             35,               71,            ,  39.79,    133956,      0.01,     15.59,        7.80,               4,                  4
   77,             ,       100090,          61,             35,               71,            ,  40.88,    133956,      2.51,     15.58,        9.05,               5,                  4
   78,             ,       100008,          61,            105,               71,            ,  41.42,    133956,      0.00,     15.58,        7.79,               4,                  4
   79,             ,       100000,          61,            113,               71,            ,  42.55,    133956,      0.00,     16.33,        8.16,               5,                  4
   80,             ,       100000,          61,            113,               71,            ,  42.36,    133956,      0.00,     15.61,        7.80,               4,                  4
   81,             ,        99999,          61,            113,               71,            ,  42.36,    133956,      0.00,     15.58,        7.79,               4,                  4
   82,             ,       100000,          61,            113,               71,            ,  41.97,    133956,      0.01,     15.59,        7.80,               5,                  4
   83,             ,       100001,          61,            113,               71,            ,  41.91,    133956,      0.00,     15.58,        7.79,               4,                  4
   84,             ,       100000,          61,            113,               71,            ,  41.97,    133956,      0.00,     15.58,        7.79,               5,                  4
   85,             ,       100000,          61,            113,               71,            ,  41.55,    133956,      2.51,     15.58,        9.05,               4,                  4
   86,             ,       100000,          61,            113,               71,            ,  41.55,    133956,      0.00,     15.58,        7.79,               5,                  4
   87,             ,       100000,          61,            113,               71,            ,  41.61,    133956,      0.00,     15.58,        7.79,               4,                  4
   88,             ,       100000,          61,            113,               71,            ,  41.09,    133956,      0.00,     16.33,        8.16,               4,                  4
   89,             ,       100000,          61,            113,               71,            ,  41.15,    133956,      0.00,     15.61,        7.80,               5,                  4
   90,             ,        99910,          61,            113,               71,            ,  41.15,    133956,      0.00,     15.58,        7.79,               4,                  4
   91,             ,        99992,          61,             43,               71,            ,  40.79,    133956,      0.00,     15.58,        7.79,               4,                  4
   92,             ,       100000,          61,             35,               71,            ,  40.82,    133956,      0.00,     15.58,        7.79,               5,                  4
   93,             ,       100000,          61,             35,               71,            ,  40.82,    133956,      0.00,     15.58,        7.79,               5,                  4
   94,             ,       100000,          61,             35,               71,            ,  40.33,    133956,      2.52,     15.59,        9.05,               5,                  4
   95,             ,       100000,          61,             35,               71,            ,  40.42,    133956,      0.00,     15.58,        7.79,               4,                  4
   96,             ,       100000,          61,             35,               71,            ,  40.48,    133956,      0.00,     16.33,        8.16,               5,                  4
   97,             ,       100000,          61,             35,               71,            ,  40.06,    133956,      0.00,     15.61,        7.80,               4,                  4
   98,             ,       100000,          61,             35,               71,            ,  40.12,    133956,      0.00,     15.58,        7.79,               4,                  4
   99,             ,       100000,          61,             35,               71,            ,  40.09,    133956,      0.00,     15.58,        7.79,               5,                  4
  100,             ,       100000,          61,             35,               71,            ,  39.88,    133956,      0.01,     15.59,        7.80,               4,                  4
  101,             ,       100000,          61,             35,               71,            ,  39.73,    133956,      0.00,     15.58,        7.79,               4,                  4
  102,             ,       100000,          61,             35,               71,            ,  39.82,    133956,      2.51,     15.58,        9.05,               4,                  4
