index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100156512,100714,55,560,114,140107,42.52,139140,,,,4,4
1,,99961,55,219,131,39380,42.18,139140,,,,4,4
2,,99999,55,219,127,39380,31.70,139140,,,,4,4
3,,100001,55,219,127,39380,32.73,139140,,,,5,4
4,,100000,55,219,127,39380,33.76,139140,,,,5,4
5,,100000,55,219,127,39380,34.61,139140,,,,4,4
6,,100000,55,219,127,39380,35.64,139140,,,,5,4
7,,99999,55,219,127,39380,36.67,139140,,,,5,4
8,,100001,55,219,127,39380,37.55,139140,,,,5,4
9,,99997,55,219,127,139376,38.39,139140,,,,5,4
10,,99918,55,165,127,139376,39.39,139140,,,,4,4
11,,100109,55,90,143,139376,40.36,139140,,,,4,4
12,,100000,55,232,139,139376,41.21,139140,,,,4,4
13,,100000,55,224,139,139376,42.30,139140,,,,5,4
14,,100000,55,224,139,139376,41.94,139140,,,,4,4
15,,100000,55,224,139,139376,41.94,139140,,,,5,4
16,,100000,55,224,139,139376,41.88,139140,,,,4,4
17,,100000,55,224,139,139376,41.24,139140,,,,4,4
18,,100000,55,224,139,139376,41.52,139140,,,,5,4
19,,100000,55,224,139,139376,41.09,139140,,,,5,4
20,,100000,55,224,139,139376,41.06,139140,,,,5,4
21,,99875,55,224,139,139376,41.12,139140,,,,5,4
22,,99992,55,91,139,139376,40.79,139140,,,,5,4
23,,100000,55,91,139,139376,40.76,139140,,,,4,4
24,,100000,55,91,139,139376,40.79,139140,,,,4,4
25,,100000,55,91,139,139376,40.39,139140,,,,4,4
26,,100000,55,91,139,139376,40.45,139140,,,,5,4
27,,100000,55,91,139,139376,40.42,139140,,,,4,4
28,,100000,55,91,139,139376,40.03,139140,,,,4,4
29,,100000,55,91,139,139376,40.03,139140,,,,5,4
30,,100000,55,91,139,139376,39.94,139140,,,,5,4
31,,100000,55,91,139,139376,40.09,139140,,,,5,4
32,,100000,55,91,139,139376,39.67,139140,,,,4,4
33,,100000,55,91,139,139376,39.64,139140,,,,4,4
34,,100000,55,91,139,139376,39.52,139140,,,,4,4
35,,100000,55,91,139,139376,39.21,139140,,,,5,4
36,,100000,55,91,139,139376,39.30,139140,,,,5,4
37,,100000,55,91,139,139376,39.21,139140,,,,4,4
38,,100000,55,91,139,,39.21,139140,,,,4,4
39,,100116,55,91,139,,39.00,139140,,,,5,4
40,,100008,55,215,139,,38.85,139140,,,,5,4
41,,99884,55,215,139,,38.94,139140,,,,4,4
42,,99992,55,91,139,,39.55,139140,,,,5,4
43,,100125,55,91,139,,40.76,139140,,,,5,4
44,,100008,55,224,139,,41.42,139140,,,,4,4
45,,100000,55,224,139,,42.55,139140,,,,4,4
46,,100000,55,224,139,,42.36,139140,,,,5,4
47,,100000,55,224,139,,42.24,139140,,,,5,4
48,,100000,55,224,139,,41.97,139140,,,,5,4
49,,100000,55,224,139,,41.82,139140,,,,5,4
50,,100000,55,224,139,,41.82,139140,,,,4,4
51,,100000,55,224,139,,41.48,139140,,,,5,4
