index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, temp_c, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,    100004700,        99723,         434,            173,               45,       12803,  27.61,    210048,      0.00,      6.34,        3.17,               8,                 16
    1,             ,        99977,         105,             36,               15,       13832,  29.06,    210048,      0.45,      6.34,        3.39,               8,                  8
    2,             ,       100000,         105,             21,                8,       13844,  30.36,    210048,      0.00,      7.65,        3.82,               8,                  9
    3,             ,       100000,         105,             21,                7,       13844,  31.36,    210048,      0.00,      6.47,        3.24,               8,                  8
    4,             ,       100000,         105,             21,                8,       13844,  32.61,    210048,      0.00,      6.34,        3.17,               8,                  8
    5,             ,       100000,         105,             21,                7,       13844,  33.55,    210048,      0.00,      6.34,        3.17,               8,                  9
    6,             ,       100001,         105,             21,                8,       13541,  34.61,    210048,      0.00,      6.34,        3.17,               8,                  8
    7,             ,       100444,         105,             20,                8,       13842,  35.52,    210048,      0.00,      6.34,        3.17,               8,                  8
    8,             ,        99555,         105,             21,               10,       13398,  36.42,    210048,      0.00,      6.34,        3.17,               8,                  8
    9,             ,       100000,         105,             21,                8,       13844,  37.55,    210048,      0.00,      6.34,        3.17,               8,                  8
   10,             ,       100000,         105,             21,                7,       13844,  38.21,    210048,      0.45,      6.34,        3.39,               8,                  8
   11,             ,        99980,         105,             21,                8,       13844,  39.39,    210048,      0.00,      7.65,        3.82,               8,                  8
   12,             ,       100000,         105,              1,                7,      113541,  40.21,    210048,      0.00,      6.47,        3.24,               8,                  8
   13,             ,       100020,         105,              1,                8,      113844,  41.39,    210048,      0.00,      6.34,        3.17,               8,                  8
   14,             ,       100000,         105,             20,                7,      113398,  41.94,    210048,      0.00,      6.34,        3.17,               8,                  8
   15,             ,       100000,         105,             20,                8,      113844,  41.97,    210048,      0.00,      6.34,        3.17,               8,                  8
   16,             ,       100000,         105,             20,                7,      113844,  41.64,    210048,      0.00,      6.34,        3.17,               8,                  8
   17,             ,       100001,         105,             20,                8,      113398,  41.82,    210048,      0.00,      6.34,        3.17,               8,                  8
   18,             ,       100444,         105,             20,                8,      113844,  41.52,    210048,      0.00,      6.34,        3.17,               8,                  8
   19,             ,        99555,         105,             21,               10,      113844,  41.21,    210048,      0.45,      6.34,        3.39,               8,                  8
   20,             ,       100000,         105,             20,                8,      113844,  41.24,    210048,      1.28,      7.55,        4.42,               8,                  8
   21,             ,        99980,         105,             20,                7,      113844,  40.97,    210048,      0.00,      6.55,        3.27,               8,                  8
   22,             ,       100000,         105,              1,                8,      113844,  40.85,    210048,      0.00,      6.34,        3.17,               8,                  8
   23,             ,       100000,         105,              1,                7,      113844,  40.67,    210048,      0.00,      6.34,        3.17,               8,                  9
   24,             ,       100000,         105,              1,                8,      113844,  40.64,    210048,      0.00,      6.34,        3.17,               8,                  8
   25,             ,       100000,         105,              1,                7,       13541,  40.67,    210048,      0.00,      6.34,        3.17,               8,                  8
   26,             ,       100000,         105,              1,                8,      113844,  40.12,    210048,      0.00,      6.34,        3.17,               8,                  8
   27,             ,       100000,         105,              1,                7,      113844,  40.21,    210048,      0.00,      6.34,        3.17,               8,                  9
   28,             ,       100002,         105,              1,                8,      113842,  39.97,    210048,      0.45,      6.34,        3.39,               8,                  8
   29,             ,       100444,         105,              1,                8,      113844,  39.85,    210048,      0.01,      6.34,        3.18,               8,                  8
   30,             ,        99554,         105,              1,               10,      113844,  39.67,    210048,      0.00,      7.65,        3.82,               8,                  8
   31,             ,       100000,         105,              1,                8,      113844,  39.33,    210048,      0.00,      6.47,        3.24,               8,                  8
   32,             ,       100000,         105,              1,                7,      113844,  39.39,    210048,      0.00,      6.34,        3.17,               8,                  8
   33,             ,       100000,         105,              1,                8,      113844,  39.42,    210048,      0.00,      6.34,        3.17,               8,                  8
   34,             ,       100000,         105,              1,                7,      113541,  39.09,    210048,      0.00,      6.34,        3.17,               8,                  8
   35,             ,       100000,         105,              1,                8,      113844,  39.09,    210048,      0.00,      6.34,        3.17,               8,                  8
   36,             ,       100000,         105,              1,                7,      113844,  39.03,    210048,      0.00,      6.34,        3.17,               8,                  8
   37,             ,       100020,         105,              1,                8,      113844,  38.61,    210048,      0.00,      6.34,        3.17,               8,                  8
   38,             ,       100000,         105,             21,                7,      113844,  38.67,    210048,      0.45,      6.34,        3.40,               8,                  8
