index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, temp_c, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,     94999861,        10000,         435,             28,                8,      111863,  27.61,    210048,      0.35,      6.44,        3.40,               4,                 16
    1,             ,        10000,         125,             24,                8,      111429,  27.58,    210048,      0.37,      6.45,        3.41,               4,                  5
    2,             ,        10000,         125,             26,                8,      111871,  27.79,    210048,      0.45,      7.84,        4.14,               5,                  4
    3,             ,        10000,         125,             20,                8,      111871,  27.55,    210048,      0.75,      6.45,        3.60,               4,                  5
    4,             ,        10000,         125,             20,                8,      111579,  27.67,    210048,      0.35,      6.44,        3.40,               4,                  5
    5,             ,        10000,         125,             20,                8,      111871,  27.55,    210048,      0.37,      6.45,        3.41,               4,                  5
    6,             ,        10449,         125,             20,                8,            ,  27.70,    210048,      0.35,      6.44,        3.40,               4,                  5
    7,             ,         9552,         125,             28,               10,            ,  27.55,    210048,      0.37,      6.45,        3.41,               4,                  4
    8,             ,         9999,         125,             20,                8,            ,  27.61,    210048,      0.35,      6.44,        3.40,               4,                  5
    9,             ,        10000,         125,             20,                8,            ,  27.52,    210048,      0.37,      6.45,        3.41,               4,                  5
   10,             ,        10000,         125,             20,                8,            ,  27.61,    210048,      0.35,      6.44,        3.40,               4,                  5
   11,             ,        10000,         125,             20,                8,            ,  27.55,    210048,      0.37,      7.87,        4.12,               4,                  5
   12,             ,        10000,         125,               ,                8,            ,  27.61,    210048,      0.45,      6.46,        3.45,               4,                  5
   13,             ,        10000,         125,               ,                8,            ,  27.70,    210048,      0.75,      6.45,        3.60,               4,                  4
   14,             ,        10000,         125,               ,                8,            ,  27.70,    210048,      0.35,      6.44,        3.40,               4,                  4
   15,             ,        10000,         125,               ,                8,            ,  27.61,    210048,      0.37,      6.45,        3.41,               4,                  5
   16,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.35,      6.44,        3.40,               4,                  5
   17,             ,        10449,         125,               ,                8,            ,  27.55,    210048,      0.37,      6.45,        3.41,               4,                  5
   18,             ,         9552,         125,               ,               10,            ,  27.70,    210048,      0.35,      6.44,        3.40,               4,                  5
   19,             ,         9999,         125,               ,                8,            ,  27.61,    210048,      0.37,      6.45,        3.41,               4,                  5
   20,             ,        10000,         125,               ,                8,            ,  27.67,    210048,      0.35,      7.86,        4.10,               4,                  5
   21,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.37,      6.45,        3.41,               4,                  5
   22,             ,        10000,         125,               ,                8,            ,  27.64,    210048,      0.45,      6.42,        3.43,               4,                  5
   23,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.75,      6.45,        3.60,               4,                  5
   24,             ,        10000,         125,               ,                8,            ,  27.79,    210048,      0.35,      6.44,        3.40,               4,                  4
   25,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.37,      6.45,        3.41,               4,                  5
   26,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.35,      6.44,        3.40,               4,                  5
   27,             ,        10000,         125,               ,                8,            ,  27.67,    210048,      0.37,      6.45,        3.41,               4,                  5
   28,             ,        10449,         125,               ,                8,            ,  27.55,    210048,      0.35,      6.44,        3.40,               4,                  4
   29,             ,         9552,         125,               ,               10,            ,  27.55,    210048,      0.37,      7.87,        4.12,               4,                  5
   30,             ,         9999,         125,               ,                8,            ,  27.58,    210048,      0.35,      6.44,        3.40,               4,                  5
   31,             ,        10000,         125,               ,                8,            ,  27.61,    210048,      0.37,      6.45,        3.41,               4,                  5
   32,             ,        10000,         125,               ,                8,            ,  27.45,    210048,      0.45,      6.42,        3.43,               4,                  5
   33,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.75,      6.45,        3.60,               4,                  5
   34,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.35,      6.44,        3.40,               4,                  5
   35,             ,        10000,         125,               ,                8,            ,  27.82,    210048,      0.37,      6.45,        3.41,               4,                  4
   36,             ,        10000,         125,               ,                8,            ,  27.64,    210048,      0.35,      6.44,        3.40,               4,                  5
   37,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.37,      6.45,        3.41,               4,                  5
   38,             ,        10000,         125,               ,                8,            ,  27.48,    210048,      0.35,      7.86,        4.10,               4,                  5
   39,             ,        10449,         125,               ,                8,            ,  27.58,    210048,      0.37,      6.45,        3.41,               4,                  5
   40,             ,         9552,         125,               ,               10,            ,  27.52,    210048,      0.35,      6.44,        3.40,               4,                  5
   41,             ,         9999,         125,               ,                8,            ,  27.45,    210048,      0.37,      6.45,        3.41,               4,                  5
   42,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.45,      6.42,        3.43,               4,                  5
   43,             ,        10000,         125,               ,                8,            ,  27.58,    210048,      0.75,      6.45,        3.60,               4,                  5
   44,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.35,      6.44,        3.40,               4,                  5
   45,             ,        10000,         125,               ,                8,            ,  27.55,    210048,      0.37,      6.45,        3.41,               4,                  5
   46,             ,        10000,         125,               ,                8,            ,  27.88,    210048,      0.35,      6.44,        3.40,               4,                  4
   47,             ,        10000,         125,               ,                8,            ,  27.48,    210048,      0.37,      7.87,        4.12,               4,                  5
   48,             ,        10000,         125,               ,                8,            ,  27.61,    210048,      0.35,      6.44,        3.40,               4,                  5
