index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, temp_c, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,    100003651,        99707,         433,            144,               28,       12689,  27.61,    210048,      0.00,      6.30,        3.15,               4,                 16
    1,             ,       100401,         120,             31,                8,       13821,  28.94,    210048,      0.63,      6.30,        3.46,               4,                  4
    2,             ,        99574,         120,             21,               10,       13412,  30.30,    210048,      0.00,      7.65,        3.82,               4,                  4
    3,             ,       100000,         120,             20,                8,       13837,  31.15,    210048,      0.00,      6.34,        3.17,               4,                  4
    4,             ,       100000,         120,             20,                8,       13837,  32.45,    210048,      0.00,      6.30,        3.15,               4,                  4
    5,             ,       100000,         120,             20,                8,       13837,  33.45,    210048,      0.00,      6.30,        3.15,               4,                  4
    6,             ,       100000,         120,             20,                8,       13837,  34.24,    210048,      0.00,      6.30,        3.15,               4,                  4
    7,             ,       100000,         120,             20,                8,       13837,  35.21,    210048,      0.00,      6.30,        3.15,               4,                  4
    8,             ,       100000,         120,             20,                8,       13837,  36.48,    210048,      0.00,      6.30,        3.15,               4,                  4
    9,             ,       100000,         120,             20,                8,       13837,  37.58,    210048,      0.00,      6.30,        3.15,               4,                  4
   10,             ,       100000,         120,             20,                8,       13837,  38.21,    210048,      0.63,      6.30,        3.46,               4,                  4
   11,             ,       100001,         120,             20,                8,       13531,  39.30,    210048,      0.00,      7.65,        3.82,               5,                  4
   12,             ,       100425,         120,             20,                8,      113837,  40.09,    210048,      0.00,      6.34,        3.17,               4,                  4
   13,             ,        99574,         120,             20,               10,      613837,  39.73,    210048,      0.00,      6.30,        3.15,               4,                  4
   14,             ,       100000,         120,             20,                8,      813837,  39.79,    210048,      0.00,      6.30,        3.15,               4,                  4
   15,             ,       100000,         120,             20,                8,     1813837,  40.82,    210048,      0.00,      6.30,        3.15,               4,                  4
   16,             ,       100000,         120,             20,                8,      313412,  41.21,    210048,      0.00,      6.30,        3.15,               4,                  4
   17,             ,       100000,         120,             20,                8,      113837,  41.21,    210048,      0.00,      6.30,        3.15,               4,                  4
