index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100169508,99464,58,116,47,131240,42.42,129200,0.00,15.62,7.81,4,4
1,,99979,58,45,31,31729,42.36,129200,1.31,15.62,8.46,5,4
2,,100000,58,45,32,31729,28.61,129200,0.00,15.62,7.81,4,4
3,,100001,58,45,32,31728,29.64,129200,0.00,16.33,8.17,4,4
4,,99999,58,45,31,31729,30.91,129200,0.00,15.62,7.81,4,4
5,,100000,58,45,32,31729,32.06,129200,0.00,15.62,7.81,4,4
6,,100001,58,45,32,31728,33.12,129200,0.00,15.62,7.81,4,4
7,,99999,58,45,31,31729,34.27,129200,0.00,15.62,7.81,4,4
8,,100000,58,45,32,31729,35.00,129200,0.00,15.62,7.81,4,4
9,,100001,58,45,32,31728,36.00,129200,1.31,15.62,8.46,4,4
10,,99999,58,45,31,31729,37.00,129200,0.00,15.62,7.81,4,4
11,,100000,58,45,32,31729,37.70,129200,0.00,15.62,7.81,4,4
12,,99969,58,45,32,131729,38.91,129200,0.00,16.33,8.17,4,4
13,,99999,58,13,31,131728,40.03,129200,0.00,15.62,7.81,4,4
14,,100032,58,13,32,131729,40.76,129200,0.00,15.62,7.81,4,4
15,,100001,58,44,32,131728,41.82,129200,0.00,15.62,7.81,4,4
16,,99999,58,45,31,131728,42.73,129200,0.00,15.62,7.81,4,4
17,,100000,58,44,32,131728,42.52,129200,0.00,15.62,7.81,4,4
18,,100001,58,44,32,131728,42.24,129200,1.58,15.62,8.60,4,4
19,,99999,58,45,31,131729,42.33,129200,0.00,15.62,7.81,4,4
20,,100000,58,44,32,131729,41.73,129200,0.00,16.33,8.17,4,4
21,,100001,58,44,32,131729,41.73,129200,0.00,15.62,7.81,4,4
22,,99999,58,45,31,131729,41.52,129200,0.00,15.62,7.81,4,4
23,,100000,58,45,32,131729,41.52,129200,0.00,15.62,7.81,4,4
24,,100001,58,45,32,131728,41.55,129200,0.00,15.62,7.81,4,4
25,,99999,58,45,31,131729,41.12,129200,0.00,15.62,7.81,4,4
26,,99968,58,44,32,131729,41.15,129200,1.57,15.62,8.60,4,4
27,,100001,58,13,32,131729,40.76,129200,0.00,15.62,7.81,4,4
28,,99999,58,13,31,131729,40.73,129200,0.00,16.35,8.17,4,4
29,,100000,58,13,32,131729,40.42,129200,0.00,15.62,7.81,4,4
30,,100001,58,13,32,131729,40.36,129200,0.00,15.62,7.81,4,4
31,,99999,58,13,31,131729,40.52,129200,0.00,15.62,7.81,4,4
32,,100000,58,13,32,131728,39.97,129200,0.00,15.62,7.81,4,4
33,,100001,58,13,32,131729,40.09,129200,0.00,15.62,7.81,4,4
34,,99999,58,13,31,131729,39.58,129200,1.31,15.62,8.46,4,4
35,,100000,58,13,32,131729,39.64,129200,0.00,15.62,7.81,4,4
36,,100001,58,13,32,131729,39.70,129200,0.00,15.62,7.81,4,4
37,,99999,58,13,31,131729,39.33,129200,0.00,16.34,8.17,4,4
38,,100032,58,13,32,131728,39.33,129200,0.00,15.62,7.81,4,4
39,,100001,58,45,32,131728,38.94,129200,0.00,15.62,7.81,4,4
40,,99967,58,45,31,131728,38.88,129200,0.00,15.62,7.81,4,4
41,,100000,58,13,32,131728,39.97,129200,0.00,15.62,7.81,4,4
42,,100033,58,13,32,131729,40.76,129200,0.00,15.62,7.81,4,4
43,,99999,58,45,31,131729,41.88,129200,1.32,15.62,8.47,4,4
44,,100000,58,44,32,131728,42.55,129200,0.00,15.62,7.81,4,4
45,,100001,58,44,32,131729,42.58,129200,0.00,16.33,8.17,4,4
46,,99999,58,45,31,131729,42.24,129200,0.00,15.62,7.81,4,4
47,,100000,58,44,32,,42.24,129200,0.00,15.62,7.81,4,4
48,,100001,58,44,32,,41.88,129200,0.00,15.62,7.81,4,4
49,,99999,58,45,31,,41.97,129200,0.00,15.62,7.81,4,4
50,,100000,58,44,32,,41.55,129200,0.00,15.62,7.81,4,4
51,,100001,58,44,32,,41.39,129200,1.57,15.62,8.59,4,4
52,,99999,58,45,31,,41.15,129200,0.00,15.62,7.81,4,4
53,,100000,58,45,32,,41.15,129200,0.00,16.33,8.17,4,4
54,,99969,58,44,32,,41.09,129200,0.00,15.62,7.81,4,4
55,,99999,58,13,31,,40.82,129200,0.00,15.62,7.81,4,4
56,,100000,58,13,32,,40.79,129200,0.00,15.62,7.81,4,4
57,,100001,58,13,32,,40.33,129200,0.00,15.62,7.81,4,4
58,,99999,58,13,31,,40.36,129200,0.00,15.62,7.81,4,4
59,,100000,58,13,32,,39.94,129200,1.57,15.62,8.59,4,4
60,,100001,58,13,32,,40.06,129200,0.00,15.62,7.81,4,4
61,,99999,58,13,31,,39.94,129200,0.00,15.62,7.81,4,4
62,,100000,58,13,32,,39.79,129200,0.00,16.33,8.17,4,4
63,,100001,58,13,32,,39.79,129200,0.00,15.62,7.81,4,4
64,,99999,58,13,31,,39.30,129200,0.00,15.62,7.81,4,4
65,,100000,58,13,32,,39.21,129200,0.00,15.62,7.81,4,4
66,,100033,58,13,32,,39.27,129200,0.00,15.62,7.81,4,4
67,,99999,58,45,31,,38.91,129200,0.00,15.62,7.81,4,4
68,,99968,58,44,32,,38.82,129200,1.57,15.62,8.60,4,4
69,,100001,58,13,32,,39.94,129200,0.00,15.62,7.81,4,4
70,,100031,58,13,31,,40.76,129200,0.00,16.34,8.17,4,4
71,,100000,58,45,32,,41.82,129200,0.00,15.62,7.81,4,4
72,,100001,58,44,32,,42.67,129200,0.00,15.62,7.81,4,4
73,,99999,58,45,31,,42.73,129200,0.00,15.62,7.81,4,4
74,,100000,58,44,32,,42.12,129200,0.00,15.62,7.81,4,4
75,,100001,58,44,32,,42.36,129200,0.00,15.62,7.81,4,4
76,,99999,58,45,31,,41.88,129200,1.57,15.62,8.59,4,4
77,,100000,58,44,32,,41.88,129200,0.00,15.62,7.81,4,4
78,,100001,58,45,32,,41.55,129200,0.00,16.33,8.17,4,4
79,,99999,58,45,31,,41.52,129200,0.00,15.62,7.81,4,4
80,,100000,58,44,32,,41.24,129200,0.00,15.62,7.81,4,4
81,,100001,58,44,32,,41.24,129200,0.00,15.62,7.81,4,4
82,,99967,58,45,31,,41.18,129200,0.00,15.62,7.81,4,4
83,,100000,58,13,32,,40.79,129200,0.00,15.62,7.81,4,4
84,,100001,58,13,32,,40.91,129200,1.57,15.62,8.59,4,4
85,,99999,58,13,31,,40.42,129200,0.00,15.62,7.81,4,4
86,,100000,58,13,32,,40.45,129200,0.00,15.62,7.81,4,4
87,,100001,58,13,32,,40.06,129200,0.00,16.33,8.17,4,4
88,,99999,58,13,31,,40.09,129200,0.00,15.62,7.81,4,4
89,,100000,58,13,32,,39.97,129200,0.00,15.62,7.81,4,4
90,,100001,58,13,32,,39.73,129200,0.00,15.62,7.81,4,4
91,,99999,58,13,31,,39.67,129200,0.00,15.62,7.81,4,4
92,,100000,58,13,32,,39.27,129200,0.00,15.62,7.81,4,4
93,,100001,58,13,32,,39.15,129200,1.57,15.62,8.60,4,4
94,,100031,58,13,31,,39.21,129200,0.00,15.62,7.81,4,4
95,,99968,58,45,32,,38.91,129200,0.00,16.33,8.17,4,4
96,,100001,58,13,32,,39.00,129200,0.00,15.62,7.81,4,4
97,,99999,58,13,31,,39.94,129200,0.00,15.62,7.81,4,4
