index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,95175002,10000,1590,50,32,121157,27.12,171696,0.94,15.68,8.31,8,9
1,,10643,58,45,32,121157,27.15,123696,0.94,15.68,8.31,4,4
2,,9359,58,46,33,121158,27.21,123696,0.96,15.68,8.32,4,4
3,,9998,58,46,31,121157,27.12,123696,1.89,16.40,9.15,4,4
4,,10000,58,46,32,121157,27.27,123696,0.94,15.68,8.31,4,4
5,,10000,58,45,32,121158,27.21,123696,0.94,15.68,8.31,4,4
6,,10000,58,46,32,,27.12,123696,0.94,15.68,8.31,4,4
7,,10642,58,45,32,,27.12,123696,0.96,15.69,8.33,4,4
8,,9360,58,45,33,,27.15,123696,1.89,15.68,8.78,4,4
9,,9998,58,46,31,,27.15,123696,0.94,15.68,8.31,4,4
10,,10000,58,45,32,,27.24,123696,0.94,15.68,8.31,4,4
11,,10000,58,45,32,,27.12,123696,0.94,15.68,8.31,4,4
12,,10000,58,,32,,27.27,123696,0.97,16.40,8.68,4,4
13,,10643,58,,32,,27.30,123696,1.89,15.68,8.79,4,4
14,,9359,58,,33,,27.15,123696,0.94,15.68,8.31,4,4
15,,9998,58,,31,,27.18,123696,0.94,15.68,8.31,4,4
16,,10000,58,,32,,27.12,123696,0.94,15.68,8.31,4,4
17,,10000,58,,32,,27.12,123696,0.96,15.68,8.32,4,4
18,,10000,58,,32,,27.06,123696,1.89,15.68,8.79,4,4
19,,10643,58,,32,,27.12,123696,0.94,15.68,8.31,4,4
20,,9359,58,,33,,27.18,123696,0.94,16.39,8.67,4,4
21,,9998,58,,31,,27.21,123696,0.94,15.68,8.31,4,4
22,,10000,58,,32,,27.27,123696,0.96,15.69,8.33,4,4
23,,10000,58,,32,,27.21,123696,1.89,15.68,8.78,4,4
24,,10000,58,,32,,27.15,123696,0.94,15.68,8.31,4,4
25,,10642,58,,32,,27.18,123696,0.94,15.68,8.31,4,4
26,,9360,58,,33,,27.12,123696,0.94,15.68,8.31,4,4
27,,9998,58,,31,,27.12,123696,0.97,15.68,8.33,4,4
28,,10000,58,,32,,27.09,123696,1.89,16.40,9.15,4,4
29,,10000,58,,32,,27.15,123696,0.94,15.67,8.30,4,4
30,,10000,58,,32,,27.15,123696,0.94,15.68,8.31,4,4
31,,10643,58,,32,,27.18,123696,0.94,15.68,8.31,4,4
32,,9359,58,,33,,27.27,123696,0.96,15.68,8.32,4,4
33,,9998,58,,31,,27.21,123696,1.89,15.68,8.79,4,4
34,,10000,58,,32,,27.18,123696,0.94,15.68,8.31,4,4
35,,10000,58,,32,,27.21,123696,0.94,15.68,8.31,4,4
36,,10000,58,,32,,27.21,123696,0.94,15.68,8.31,4,4
37,,10643,58,,32,,27.15,123696,0.96,16.41,8.68,4,4
38,,9359,58,,33,,27.18,123696,1.89,15.67,8.78,4,4
39,,9998,58,,31,,27.18,123696,0.94,15.68,8.31,4,4
40,,10000,58,,32,,27.12,123696,0.94,15.68,8.31,4,4
41,,10000,58,,32,,27.27,123696,0.94,15.68,8.31,4,4
42,,10000,58,,32,,27.21,123696,0.97,15.68,8.33,4,4
43,,10642,58,,32,,27.30,123696,1.89,15.68,8.79,4,4
44,,9360,58,,33,,27.18,123696,0.94,15.68,8.31,4,4
45,,9998,58,,31,,27.27,123696,0.94,16.40,8.67,4,4
46,,10000,58,,32,,27.21,123696,0.94,15.68,8.31,4,4
47,,10000,58,,32,,27.27,123696,0.96,15.68,8.32,4,4
48,,10000,58,,32,,27.21,123696,1.89,15.68,8.79,4,4
49,,10643,58,,32,,27.21,123696,0.94,15.68,8.31,4,4
50,,9359,58,,33,,27.12,123696,0.94,15.68,8.31,4,4
51,,9998,58,,31,,27.30,123696,0.94,15.68,8.31,4,4
52,,10000,58,,32,,28.73,123696,0.96,15.69,8.33,4,4
53,,10000,58,,32,,29.76,123696,1.89,16.39,9.14,4,4
54,,10000,58,,32,,31.15,123696,0.94,15.68,8.31,4,4
55,,10643,58,,32,,32.00,123696,0.94,15.68,8.31,4,4
56,,9359,58,,33,,33.18,123696,0.94,15.68,8.31,4,4
57,,9998,58,,31,,34.33,123696,0.97,15.68,8.33,4,4
58,,10000,58,,32,,34.91,123696,1.89,15.68,8.79,4,4
59,,10000,58,,32,,36.03,123696,0.94,15.68,8.31,4,4
60,,10000,58,,32,,37.24,123696,0.94,15.68,8.31,4,4
61,,10642,58,,32,,38.06,123696,0.94,15.68,8.31,4,4
62,,9360,58,,33,,39.15,123696,0.96,16.39,8.67,4,4
63,,9998,58,,31,,40.09,123696,1.89,15.68,8.79,4,4
64,,10000,58,,32,,40.82,123696,0.94,15.68,8.31,4,4
65,,10000,58,,32,,41.97,123696,0.94,15.68,8.31,4,4
66,,10000,58,,32,,42.73,123696,0.94,15.68,8.31,4,4
67,,10643,58,,32,,43.97,123696,0.96,15.69,8.33,4,4
68,,9359,58,,33,,44.64,123696,1.89,15.68,8.78,4,4
69,,9998,58,,31,,45.70,123696,0.94,15.68,8.31,4,4
70,,10000,58,,32,,46.36,123696,0.94,16.40,8.67,4,4
71,,10000,58,,32,,47.00,123696,0.94,15.67,8.30,4,4
72,,10000,58,,32,,48.21,123696,0.97,15.68,8.33,4,4
73,,10643,58,,32,,49.12,123696,1.89,15.68,8.79,4,4
74,,9359,58,,33,,49.73,123696,0.94,15.68,8.31,4,4
75,,9998,58,,31,,50.82,123696,0.94,15.68,8.31,4,4
76,,10000,58,,32,,51.03,123696,0.94,15.68,8.31,4,4
77,,10000,58,,32,,51.88,123696,0.96,15.68,8.32,4,4
78,,10000,58,,32,,52.61,123696,1.89,16.40,9.15,4,4
79,,10642,58,,32,,53.27,123696,0.94,15.68,8.31,4,4
80,,9360,58,,33,,54.42,123696,0.94,15.68,8.31,4,4
81,,9998,58,,31,,55.18,123696,0.94,15.68,8.31,4,4
82,,10000,58,,32,,54.85,123696,0.96,15.69,8.33,4,4
83,,10000,58,,32,,54.42,123696,1.89,15.68,8.78,4,4
84,,10000,58,,32,,54.03,123696,0.94,15.68,8.31,4,4
85,,10643,58,,32,,53.61,123696,0.94,15.68,8.31,4,4
86,,9359,58,,33,,53.30,123696,0.94,15.68,8.31,4,4
87,,9998,58,,31,,52.85,123696,0.97,16.40,8.68,4,4
88,,10000,58,,32,,52.82,123696,1.89,15.68,8.79,4,4
89,,10000,58,,32,,52.61,123696,0.94,15.68,8.31,4,4
90,,10000,58,,32,,52.30,123696,0.94,15.68,8.31,4,4
91,,10643,58,,32,,51.97,123696,0.94,15.68,8.31,5,4
92,,9359,58,,33,,51.48,123696,0.96,15.68,8.32,4,4
93,,9998,58,,31,,51.12,123696,1.89,15.68,8.79,4,4
94,,10000,58,,32,,51.09,123696,0.94,15.68,8.31,4,4
95,,10000,58,,32,,51.18,123696,0.94,16.39,8.67,4,4
96,,10000,58,,32,,50.76,123696,0.94,15.68,8.31,4,4
97,,10642,58,,32,,50.39,123696,0.96,15.69,8.33,4,4
98,,9360,58,,33,,50.52,123696,1.89,15.68,8.78,4,4
99,,9998,58,,31,,50.21,123696,0.94,15.68,8.31,4,4
100,,10000,58,,32,,49.79,123696,0.94,15.68,8.31,4,4
101,,10000,58,,32,,49.70,123696,0.94,15.68,8.31,4,4
102,,10000,58,,32,,49.30,123696,0.97,15.68,8.33,4,4
103,,10643,58,,32,,49.00,123696,1.89,16.40,9.15,4,4
104,,9359,58,,33,,48.73,123696,0.94,15.67,8.30,4,4
105,,9998,58,,31,,48.76,123696,0.94,15.68,8.31,4,4
106,,10000,58,,32,,48.30,123696,0.94,15.68,8.31,4,4
107,,10000,58,,32,,47.97,123696,0.96,15.68,8.32,4,4
108,,10000,58,,32,,47.88,123696,1.89,15.68,8.79,4,4
109,,10643,58,,32,,47.52,123696,0.94,15.68,8.31,4,4
110,,9359,58,,33,,47.12,123696,0.94,15.68,8.31,4,4
111,,9998,58,,31,,47.15,123696,0.94,15.68,8.31,4,4
112,,10000,58,,32,,46.91,123696,0.96,16.41,8.68,4,4
113,,10000,58,,32,,46.76,123696,1.89,15.67,8.78,4,4
114,,10000,58,,32,,46.42,123696,0.94,15.68,8.31,4,4
115,,10642,58,,32,,46.09,123696,0.94,15.68,8.31,4,4
116,,9360,58,,33,,46.12,123696,0.94,15.68,8.31,4,4
117,,9998,58,,31,,45.64,123696,0.97,15.68,8.33,4,4
118,,10000,58,,32,,45.58,123696,1.89,15.68,8.79,4,4
119,,10000,58,,32,,45.42,123696,0.94,15.68,8.31,4,4
120,,10000,58,,32,,45.03,123696,0.94,16.40,8.67,4,4
121,,10643,58,,32,,44.94,123696,0.94,15.68,8.31,4,4
122,,9359,58,,33,,44.67,123696,0.96,15.68,8.32,4,4
123,,9998,58,,31,,44.76,123696,1.89,15.68,8.79,4,4
124,,10000,58,,32,,44.42,123696,0.94,15.68,8.31,4,4
125,,10000,58,,32,,44.27,123696,0.94,15.68,8.31,4,4
126,,10000,58,,32,,43.94,123696,0.94,15.68,8.31,4,4
127,,10643,58,,32,,43.97,123696,78.01,15.70,46.85,4,4
128,,9359,58,,33,,43.55,123696,100.00,16.40,58.20,4,4
129,,9998,58,,31,,43.55,123696,100.00,15.69,57.85,4,4
130,,10000,58,,32,,42.73,123696,100.00,15.64,57.82,4,4
131,,10000,58,,32,,43.18,123696,100.00,15.67,57.83,4,4
132,,10000,58,,32,,42.55,123696,100.00,15.65,57.83,4,4
133,,10642,58,,32,,42.73,123696,100.00,15.67,57.83,4,4
134,,9360,58,,33,,42.33,123696,0.94,15.68,8.31,4,4
135,,9998,58,,31,,42.24,123696,0.94,15.68,8.31,4,4
136,,10000,58,,32,,41.82,123696,0.94,15.68,8.31,4,4
137,,10000,58,,32,,41.85,123696,0.96,16.41,8.68,4,4
138,,10000,58,,32,,41.52,123696,1.89,15.67,8.78,4,4
139,,10643,58,,32,,41.55,123696,0.94,15.68,8.31,4,4
140,,9359,58,,33,,41.09,123696,0.94,15.68,8.31,4,4
141,,9998,58,,31,,41.15,123696,0.94,15.68,8.31,4,4
142,,10000,58,,32,,40.82,123696,0.97,15.68,8.33,4,4
143,,10000,58,,32,,40.79,123696,1.89,15.68,8.79,4,4
144,,10000,58,,32,,40.79,123696,0.94,15.68,8.31,4,4
145,,10643,58,,32,,40.52,123696,0.94,16.40,8.67,4,4
146,,9359,58,,33,,40.42,123696,0.94,15.68,8.31,4,4
147,,9998,58,,31,,40.09,123696,0.96,15.68,8.32,4,4
148,,10000,58,,32,,40.09,123696,1.89,15.68,8.79,4,4
149,,10000,58,,32,,39.94,123696,0.94,15.68,8.31,4,4
150,,10000,58,,32,,39.88,123696,0.94,15.68,8.31,4,4
151,,10642,58,,32,,39.67,123696,0.94,15.68,8.31,4,4
152,,9360,58,,33,,39.39,123696,0.96,15.69,8.33,4,4
153,,9998,58,,31,,39.42,123696,1.89,16.39,9.14,4,4
154,,10000,58,,32,,39.45,123696,0.94,15.68,8.31,4,4
155,,10000,58,,32,,39.03,123696,0.94,15.68,8.31,4,4
156,,10000,58,,32,,39.03,123696,0.94,15.68,8.31,4,4
157,,10643,58,,32,,38.67,123696,0.97,15.68,8.33,4,4
158,,9359,58,,33,,38.70,123696,1.89,15.68,8.79,4,4
159,,9998,58,,31,,38.76,123696,0.94,15.68,8.31,4,4
160,,10000,58,,32,,38.33,123696,0.94,15.68,8.31,4,4
161,,10000,58,,32,,38.30,123696,0.94,15.68,8.31,4,4
162,,10000,58,,32,,38.33,123696,0.96,16.39,8.67,4,4
163,,10643,58,,32,,37.94,123696,1.89,15.68,8.79,4,4
164,,9359,58,,33,,37.94,123696,0.94,15.68,8.31,4,4
165,,9998,58,,31,,37.94,123696,0.94,15.68,8.31,4,4
166,,10000,58,,32,,37.45,123696,0.94,15.68,8.31,4,4
167,,10000,58,,32,,37.55,123696,0.96,15.69,8.33,4,4
168,,10000,58,,32,,37.48,123696,1.89,15.68,8.78,4,4
169,,10642,58,,32,,37.03,123696,0.94,15.68,8.31,4,4
170,,9360,58,,33,,37.18,123696,0.94,16.40,8.67,4,4
171,,9998,58,,31,,37.15,123696,0.94,15.67,8.30,4,4
172,,10000,58,,32,,36.79,123696,0.97,15.68,8.33,4,4
173,,10000,58,,32,,36.73,123696,1.89,15.68,8.79,4,4
174,,10000,58,,32,,36.70,123696,0.94,15.68,8.31,4,4
175,,10643,58,,32,,36.82,123696,0.94,15.68,8.31,4,4
176,,9359,58,,33,,36.33,123696,0.94,15.68,8.31,4,4
177,,9998,58,,31,,36.30,123696,0.96,15.68,8.32,4,4
178,,10000,58,,32,,36.33,123696,1.89,16.40,9.15,4,4
179,,10000,58,,32,,36.06,123696,0.94,15.68,8.31,4,4
180,,10000,58,,32,,35.94,123696,0.94,15.68,8.31,4,4
181,,10643,58,,32,,36.03,123696,0.94,15.68,8.31,4,4
182,,9359,58,,33,,36.00,123696,0.96,15.69,8.33,4,4
183,,9998,58,,31,,35.61,123696,1.89,15.68,8.78,4,4
184,,10000,58,,32,,35.55,123696,0.94,15.68,8.31,4,4
