index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100168370,99770,58,136,47,31549,40.36,128816,0.00,15.62,7.81,4,4
1,,99979,59,45,31,31715,40.36,128816,1.57,15.62,8.60,4,4
2,,100000,58,46,31,31736,29.30,128816,0.00,15.62,7.81,4,4
3,,100001,58,46,31,31736,30.42,128816,0.00,16.34,8.17,4,4
4,,99999,58,46,31,31735,31.61,128816,0.00,15.62,7.81,4,4
5,,100000,58,45,31,31737,32.30,128816,0.00,15.63,7.82,4,4
6,,100001,58,45,31,31737,33.55,128816,0.00,15.62,7.81,4,4
7,,99999,58,46,31,31735,34.52,128816,0.00,15.62,7.81,4,4
8,,100000,58,46,31,31736,35.64,128816,0.00,15.62,7.81,4,4
9,,100001,58,46,31,31736,36.30,128816,1.57,15.62,8.60,4,4
10,,99999,58,46,31,31735,37.55,128816,0.00,15.62,7.81,4,4
11,,100000,58,46,31,31736,38.27,128816,0.00,15.62,7.81,4,4
12,,100001,58,45,31,131735,38.94,128816,0.00,16.34,8.17,4,4
13,,99999,58,46,31,31737,39.30,128816,0.00,15.62,7.81,4,4
14,,100000,58,45,31,131736,39.61,128816,0.00,15.62,7.81,4,4
15,,100001,58,45,31,1431736,40.00,128816,0.00,15.62,7.81,4,4
16,,99999,58,45,31,131736,40.09,128816,0.00,15.62,7.81,4,4
17,,100000,58,45,31,,39.94,128816,0.00,15.63,7.82,4,4
18,,100001,58,45,31,,40.52,128816,1.58,15.62,8.60,4,4
19,,99999,58,45,31,,40.94,128816,0.00,15.62,7.81,4,4
20,,100000,58,45,31,,40.76,128816,0.00,16.34,8.17,4,4
21,,100001,58,45,31,,40.79,128816,0.00,15.62,7.81,4,4
22,,99999,58,46,31,,40.76,128816,0.00,15.62,7.81,4,4
23,,100000,58,46,31,,40.42,128816,0.00,15.63,7.82,4,4
24,,100001,58,45,31,,40.82,128816,0.00,15.62,7.81,4,4
25,,99999,58,45,31,,41.18,128816,0.00,15.62,7.81,4,4
26,,100000,58,45,31,,41.15,128816,1.57,15.62,8.60,4,4
27,,100001,58,45,31,,40.76,128816,0.00,15.62,7.81,4,4
28,,99999,58,46,31,,41.00,128816,0.00,16.34,8.17,4,4
29,,100000,58,45,31,,41.24,128816,0.00,15.62,7.81,4,4
30,,100001,58,45,31,,41.15,128816,0.00,15.62,7.81,4,4
31,,99999,58,45,31,,41.18,128816,0.00,15.62,7.81,4,4
32,,100000,58,45,31,,40.82,128816,0.00,15.62,7.81,4,4
33,,100001,58,45,31,,40.88,128816,0.00,15.62,7.81,4,4
34,,99999,58,46,31,,41.18,128816,1.57,15.62,8.60,4,4
35,,100000,58,45,31,,40.82,128816,0.00,15.62,7.81,4,4
36,,100001,58,45,31,,40.82,128816,0.00,15.62,7.81,4,4
37,,99999,58,46,31,,41.15,128816,0.00,16.34,8.17,4,4
38,,100000,58,45,31,,40.94,128816,0.00,15.62,7.81,4,4
39,,100001,58,45,31,,40.76,128816,0.00,15.62,7.81,4,4
40,,99999,58,46,31,,40.30,128816,0.00,15.62,7.81,4,4
41,,100000,58,45,31,,40.76,128816,0.00,15.63,7.82,4,4
42,,100001,58,45,31,,41.55,128816,0.00,15.62,7.81,4,4
