index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100169235,101868,58,476,71,30816,41.39,133956,0.00,15.58,7.79,4,5
1,,100268,58,117,98,28894,41.15,133956,3.27,15.58,9.42,4,4
2,,99996,58,103,67,28612,29.21,133956,0.00,15.59,7.80,4,5
3,,100000,57,104,67,28617,30.70,133956,0.00,16.29,8.15,4,4
4,,100000,58,104,67,28617,31.36,133956,0.00,15.58,7.79,4,5
5,,100000,58,103,67,28617,32.30,133956,0.00,15.59,7.80,4,5
6,,100000,58,104,67,28616,33.55,133956,0.00,15.58,7.79,4,5
7,,100000,57,103,67,28617,34.61,133956,0.00,15.58,7.79,4,4
8,,100000,58,103,67,28617,35.64,133956,0.00,15.59,7.80,4,5
9,,100000,58,104,67,28617,36.33,133956,3.27,15.58,9.42,4,5
10,,100000,58,103,67,28616,37.45,133956,0.00,15.58,7.79,4,5
11,,100061,57,104,67,28617,38.52,133956,0.00,15.59,7.80,4,4
12,,99898,58,161,67,28621,39.36,133956,0.00,16.29,8.15,4,5
13,,100050,57,35,87,28620,40.48,133956,0.00,15.58,7.79,4,4
14,,100000,58,108,67,28621,41.48,133956,0.00,15.59,7.80,4,5
15,,100000,58,108,67,128620,41.94,133956,0.00,15.58,7.79,4,5
16,,100000,57,109,67,128621,41.55,133956,0.00,15.58,7.79,4,4
17,,100000,58,109,67,128621,41.55,133956,0.00,15.59,7.80,4,5
18,,100000,57,109,67,28621,41.15,133956,3.26,15.58,9.42,4,4
19,,99910,58,108,67,128620,41.03,133956,0.00,15.58,7.79,4,5
20,,99992,58,42,67,28621,40.76,133956,0.00,16.30,8.15,4,5
21,,100000,57,34,67,128621,40.82,133956,0.00,15.58,7.79,4,4
22,,100000,58,35,67,128620,40.39,133956,0.00,15.58,7.79,4,5
23,,100000,57,35,67,128621,40.52,133956,0.00,15.59,7.80,4,4
24,,100000,58,35,67,28621,40.42,133956,0.00,15.58,7.79,4,5
25,,100000,58,34,67,28620,39.94,133956,0.00,15.58,7.79,4,5
26,,100000,58,34,67,128621,39.94,133956,2.52,15.59,9.05,4,5
27,,100000,58,34,67,28621,39.70,133956,0.00,15.58,7.79,4,5
28,,100000,58,35,67,128621,39.67,133956,0.00,16.29,8.15,4,5
29,,100000,57,35,67,28621,39.64,133956,0.00,15.59,7.80,4,4
30,,100000,58,35,67,128620,39.30,133956,0.00,15.58,7.79,4,4
31,,100085,58,34,67,128621,39.27,133956,0.00,15.58,7.79,4,5
32,,99919,58,95,67,28620,38.94,133956,0.00,15.59,7.80,4,5
33,,99996,58,42,67,28621,39.67,133956,0.00,15.58,7.79,4,5
34,,100090,58,35,67,128620,40.48,133956,2.45,15.58,9.02,4,5
