index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,95173493,10000,1768,93,72,122119,27.09,171696,1.82,15.49,8.65,9,9
1,,10002,58,88,72,120748,27.12,132872,1.82,15.49,8.65,4,5
2,,10620,58,88,71,120748,27.18,132872,1.82,15.49,8.65,4,5
3,,9379,58,88,72,120748,27.12,132872,2.56,16.10,9.33,4,5
4,,9999,58,88,71,120747,27.09,132872,2.96,15.60,9.28,4,5
5,,10000,58,88,72,120747,27.12,132872,1.82,15.49,8.65,4,5
6,,10000,58,88,72,,27.09,132872,1.82,15.49,8.65,4,5
7,,10000,58,88,72,,27.12,132872,1.82,15.49,8.65,4,5
8,,10622,57,88,72,,27.12,132872,1.88,15.49,8.68,4,4
9,,9379,58,88,71,,27.24,132872,3.64,15.49,9.57,4,5
10,,9999,58,88,71,,27.12,132872,1.82,15.49,8.65,4,5
11,,10002,57,88,72,,27.12,132872,1.82,15.49,8.65,4,4
12,,9998,58,,71,,27.12,132872,1.82,16.21,9.02,4,5
13,,10000,58,,72,,27.15,132872,1.87,15.49,8.68,4,5
14,,10622,57,,72,,27.12,132872,3.64,15.49,9.57,4,4
15,,9379,57,,72,,27.15,132872,1.82,15.49,8.65,4,4
16,,9999,57,,71,,27.12,132872,1.82,15.49,8.65,4,4
17,,10000,57,,72,,27.24,132872,1.82,15.49,8.65,4,4
18,,10000,58,,72,,27.12,132872,1.88,15.49,8.68,4,5
19,,10000,57,,72,,27.06,132872,3.64,15.49,9.57,4,4
20,,10622,58,,72,,27.12,132872,1.82,16.21,9.02,4,5
21,,9381,58,,71,,27.21,132872,1.82,15.48,8.65,4,5
22,,9997,57,,71,,27.12,132872,1.82,15.49,8.65,4,4
23,,10000,58,,72,,27.27,132872,1.88,15.49,8.68,4,5
24,,10000,57,,72,,27.12,132872,3.64,15.49,9.57,4,4
25,,10000,57,,72,,27.15,132872,1.82,15.49,8.65,4,4
26,,10622,57,,72,,27.21,132872,1.82,15.49,8.65,4,4
27,,9379,58,,71,,27.00,132872,1.82,15.49,8.65,4,5
