index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100163522,99794,58,291,71,31383,39.70,133884,0.00,15.59,7.80,4,4
1,,99947,59,135,67,31521,39.64,133884,3.52,15.58,9.55,4,4
2,,99997,58,135,67,31574,29.42,133884,0.00,15.59,7.80,5,4
3,,100005,58,131,67,31574,30.42,133884,0.00,16.30,8.15,5,4
4,,99995,58,135,67,31572,31.61,133884,0.00,15.58,7.79,4,4
5,,100003,58,131,67,31574,32.52,133884,0.00,15.59,7.80,5,4
6,,99998,58,135,67,31574,33.55,133884,0.00,15.59,7.80,4,4
7,,100002,58,131,67,31572,34.61,133884,0.00,15.58,7.79,5,4
8,,99997,58,135,67,31574,35.61,133884,0.00,15.59,7.80,5,4
9,,100004,58,131,67,31574,36.12,133884,3.55,15.59,9.57,5,4
10,,99995,58,135,67,131574,37.42,133884,0.00,15.58,7.79,4,4
11,,100004,58,131,67,531574,38.33,133884,0.00,15.59,7.80,5,4
12,,99998,58,135,67,31572,38.67,133884,0.00,16.30,8.15,4,4
13,,100002,58,131,67,31574,38.88,133884,0.00,15.58,7.79,5,4
14,,99996,58,134,67,3731572,40.09,133884,0.00,15.59,7.80,5,4
15,,100005,58,131,67,131574,40.39,133884,0.00,15.59,7.80,4,4
16,,99995,58,135,67,531574,40.39,133884,0.00,15.58,7.79,5,4
17,,100004,58,131,67,131574,40.36,133884,0.00,15.59,7.80,4,4
18,,99998,58,134,67,131574,40.39,133884,3.53,15.59,9.56,4,4
19,,100002,58,131,67,31574,40.36,133884,0.00,15.58,7.79,4,4
20,,99997,58,134,67,2331572,40.42,133884,0.00,16.30,8.15,5,4
21,,100004,58,131,67,131572,40.30,133884,0.00,15.59,7.80,5,4
22,,99995,58,135,67,31574,40.36,133884,0.00,15.58,7.79,5,4
23,,100004,58,131,67,31574,40.76,133884,0.00,15.59,7.80,4,4
24,,99998,58,134,67,131572,40.79,133884,0.00,15.59,7.80,4,4
25,,100002,58,131,67,531574,40.39,133884,0.00,15.58,7.79,5,4
26,,99996,58,134,67,131574,40.76,133884,3.55,15.59,9.57,4,4
27,,100005,58,131,67,131574,41.15,133884,0.00,15.59,7.80,5,4
28,,99995,58,135,67,131572,41.15,133884,0.00,16.29,8.15,5,4
29,,100004,58,131,67,131572,40.82,133884,0.00,15.59,7.80,4,4
30,,99998,58,134,67,331572,41.12,133884,0.00,15.59,7.80,5,4
31,,100002,58,131,67,531574,40.97,133884,0.00,15.58,7.79,4,4
32,,99996,58,134,67,531574,40.82,133884,0.00,15.59,7.80,5,4
33,,100006,58,131,67,131574,40.79,133884,0.00,15.59,7.80,4,4
34,,99994,58,135,67,1031572,40.24,133884,3.52,15.58,9.55,4,4
35,,100004,58,130,67,31572,41.09,133884,0.00,15.59,7.80,5,4
36,,99998,58,134,67,131574,41.42,133884,0.00,15.59,7.80,5,4
37,,100002,58,131,67,16731572,41.15,133884,0.00,16.29,8.15,5,4
38,,99997,58,135,67,831572,41.12,133884,0.00,15.59,7.80,5,4
39,,100004,58,131,67,131574,40.73,133884,0.00,15.59,7.80,5,4
