index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,94999865,10000,426,20,8,111891,27.12,210048,0.36,6.44,3.40,5,13
1,,10000,140,23,8,111895,27.12,210048,0.36,6.44,3.40,4,4
2,,10000,140,20,8,111895,27.12,210048,0.36,8.00,4.18,4,4
3,,10000,140,20,8,111895,27.12,210048,0.36,6.47,3.42,4,4
4,,10000,140,20,8,111895,27.21,210048,0.45,6.42,3.44,4,4
5,,10000,140,20,8,111895,27.15,210048,0.74,6.44,3.59,4,4
6,,10000,140,20,8,,27.06,210048,0.36,6.44,3.40,4,4
7,,10000,140,20,8,,27.12,210048,0.36,6.44,3.40,4,4
8,,10462,140,20,8,,27.12,210048,0.36,6.44,3.40,4,4
9,,9539,140,20,10,,27.15,210048,0.36,6.44,3.40,4,4
10,,9999,140,20,8,,27.12,210048,0.36,6.44,3.40,4,4
11,,10000,140,20,8,,27.39,210048,0.36,8.00,4.18,4,4
12,,10000,140,,8,,27.21,210048,0.36,6.47,3.42,4,4
13,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
14,,10000,140,,8,,27.15,210048,0.45,6.42,3.44,4,4
15,,10000,140,,8,,27.15,210048,0.74,6.44,3.59,4,4
16,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
17,,10000,140,,8,,27.15,210048,0.36,6.44,3.40,4,4
18,,10000,140,,8,,27.27,210048,0.36,6.44,3.40,4,4
19,,10462,140,,8,,27.18,210048,0.36,6.44,3.40,4,4
20,,9539,140,,10,,27.21,210048,0.36,8.00,4.18,4,4
21,,9999,140,,8,,27.12,210048,0.36,6.47,3.42,4,4
22,,10000,140,,8,,27.39,210048,0.36,6.44,3.40,4,4
23,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
24,,10000,140,,8,,27.12,210048,0.45,6.42,3.44,4,4
25,,10000,140,,8,,27.12,210048,0.74,6.44,3.59,4,4
26,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
27,,10000,140,,8,,27.09,210048,0.36,6.44,3.40,4,4
28,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
29,,10000,140,,8,,27.12,210048,0.36,8.00,4.18,4,4
30,,10461,140,,8,,27.12,210048,0.36,6.47,3.42,4,4
31,,9540,140,,10,,27.12,210048,0.36,6.44,3.40,4,4
32,,9999,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
33,,10000,140,,8,,27.15,210048,0.36,6.44,3.40,4,4
34,,10000,140,,8,,27.12,210048,0.45,6.42,3.44,4,4
35,,10000,140,,8,,27.15,210048,0.74,6.44,3.59,4,4
36,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
37,,10000,140,,8,,27.15,210048,0.36,6.44,3.40,4,4
38,,10000,140,,8,,27.12,210048,0.36,8.00,4.18,4,4
39,,10000,140,,8,,27.12,210048,0.36,6.47,3.42,4,4
40,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
41,,10456,140,,8,,27.15,210048,0.36,6.44,3.40,4,4
42,,9545,140,,9,,27.06,210048,0.36,6.44,3.40,4,4
43,,9999,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
44,,10000,141,,8,,27.36,210048,0.45,6.42,3.44,4,4
45,,10000,140,,8,,27.15,210048,0.74,6.44,3.59,4,4
46,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
47,,10000,140,,8,,27.12,210048,0.36,8.00,4.18,4,4
48,,10000,140,,8,,27.12,210048,0.36,6.47,3.42,4,4
49,,10000,140,,8,,27.18,210048,0.36,6.44,3.40,4,4
50,,10000,140,,8,,27.12,210048,0.36,6.44,3.40,4,4
51,,10000,140,,8,,28.70,210048,0.36,6.44,3.40,4,4
52,,10462,140,,8,,29.58,210048,0.36,6.44,3.40,4,4
53,,9539,140,,10,,31.09,210048,0.36,6.44,3.40,4,4
54,,9999,140,,8,,32.06,210048,0.45,6.42,3.44,4,4
55,,10000,140,,8,,33.30,210048,0.74,6.44,3.59,4,4
56,,10000,140,,8,,34.18,210048,0.36,8.00,4.18,4,4
57,,10000,140,,8,,34.82,210048,0.36,6.47,3.42,4,4
58,,10000,140,,8,,36.03,210048,0.36,6.44,3.40,4,4
59,,10000,140,,8,,37.12,210048,0.36,6.44,3.40,4,4
60,,10000,140,,8,,37.79,210048,0.36,6.44,3.40,4,4
61,,10000,140,,8,,39.00,210048,0.36,6.44,3.40,4,4
62,,10000,140,,8,,40.03,210048,0.36,6.44,3.40,4,4
63,,10462,140,,8,,40.76,210048,0.36,6.44,3.40,4,4
64,,9539,140,,10,,41.91,210048,0.45,6.42,3.44,4,4
65,,9999,140,,8,,42.61,210048,2.26,7.88,5.07,4,4
66,,10000,140,,8,,43.97,210048,0.00,6.58,3.29,4,4
67,,10000,140,,8,,44.76,210048,0.36,6.44,3.40,4,4
68,,10000,140,,8,,45.55,210048,0.36,6.44,3.40,4,4
69,,10000,140,,8,,46.36,210048,0.36,6.44,3.40,4,4
70,,10000,140,,8,,47.00,210048,0.36,6.44,3.40,4,4
71,,10000,140,,8,,48.15,210048,0.36,6.44,3.40,4,4
72,,10000,140,,8,,48.85,210048,0.36,6.44,3.40,4,4
73,,10000,140,,8,,49.58,210048,0.36,6.44,3.40,4,4
74,,10462,140,,8,,50.61,210048,0.45,6.42,3.44,4,4
75,,9539,140,,10,,50.94,210048,0.74,8.01,4.37,4,4
76,,9999,140,,8,,51.76,210048,0.36,6.47,3.42,4,4
77,,10000,140,,8,,52.67,210048,0.36,6.44,3.40,4,4
78,,10000,140,,8,,53.21,210048,0.36,6.44,3.40,4,4
79,,10000,140,,8,,54.00,210048,0.36,6.44,3.40,4,4
80,,10000,140,,8,,55.15,210048,0.36,6.44,3.40,4,4
81,,10000,140,,8,,54.55,210048,0.36,6.44,3.40,4,4
82,,10000,140,,8,,54.24,210048,0.36,6.44,3.40,4,4
83,,10000,140,,8,,53.73,210048,0.36,6.44,3.40,4,4
84,,10000,140,,8,,53.58,210048,0.45,7.98,4.22,4,4
85,,10462,140,,8,,53.09,210048,0.74,6.47,3.60,4,4
86,,9539,140,,10,,52.91,210048,0.36,6.44,3.40,4,4
87,,9999,140,,8,,52.82,210048,0.36,6.44,3.40,4,4
88,,10000,141,,8,,52.64,210048,0.36,6.44,3.40,4,4
89,,10000,140,,8,,52.03,210048,0.36,6.44,3.40,4,4
90,,10000,140,,8,,51.76,210048,0.36,6.44,3.40,4,4
91,,10000,140,,8,,51.45,210048,0.36,6.44,3.40,4,4
92,,10000,140,,8,,51.03,210048,0.36,6.44,3.40,4,4
93,,10000,140,,8,,51.00,210048,0.36,8.00,4.18,4,4
94,,10000,140,,8,,51.06,210048,0.46,6.50,3.48,4,4
95,,10000,140,,8,,50.76,210048,0.74,6.44,3.59,4,4
96,,10462,140,,8,,50.24,210048,0.36,6.44,3.40,4,4
