index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,60012630,99372,430,120,28,4588,27.12,205348,0.00,6.39,3.20,8,16
1,,100000,68,20,8,5814,28.61,209804,0.00,6.39,3.20,4,4
2,,100000,68,20,8,5814,29.61,209804,0.62,6.39,3.50,4,4
3,,100000,68,20,8,5518,31.15,209804,0.00,7.38,3.69,4,4
4,,100000,68,20,8,5814,31.97,209804,0.00,6.39,3.20,4,4
5,,100000,68,20,8,5814,33.06,209804,0.00,6.39,3.20,4,4
6,,100002,68,20,8,5814,34.09,209804,0.00,6.39,3.20,4,4
7,,100462,68,20,8,5813,34.76,209804,0.00,6.39,3.20,4,4
8,,99536,68,21,10,5351,35.91,209804,0.00,6.39,3.20,4,4
9,,100000,68,20,8,5814,37.03,209804,0.00,6.39,3.20,4,4
10,,100000,68,20,8,5814,37.79,209804,0.00,6.39,3.20,4,4
11,,100000,68,20,8,5814,38.94,209804,0.62,6.39,3.50,4,4
12,,99985,68,20,8,5814,39.97,209804,0.00,7.37,3.69,4,4
13,,99996,68,4,8,105810,40.79,209804,0.00,6.39,3.20,4,4
14,,100019,64,0,8,105810,42.00,209804,0.00,6.39,3.20,4,4
15,,100000,64,20,8,105809,42.64,209804,0.00,6.39,3.20,4,4
16,,100000,64,20,8,105514,42.64,209804,0.00,6.39,3.20,4,4
17,,100001,64,20,8,105347,42.21,209804,0.00,6.39,3.20,4,4
18,,100463,64,20,8,105810,42.27,209804,0.00,6.39,3.20,4,4
19,,99536,64,21,10,105810,41.73,209804,0.00,6.39,3.20,4,4
20,,100000,64,20,8,105810,41.91,209804,0.62,6.39,3.50,4,4
21,,100000,64,20,8,105810,41.39,209804,0.00,7.45,3.72,4,4
22,,100000,64,20,8,105810,41.52,209804,0.00,6.39,3.20,4,4
23,,100000,64,20,8,105809,41.42,209804,0.00,6.39,3.20,4,4
24,,100000,64,20,8,205513,41.03,209804,0.00,6.39,3.20,4,4
25,,100000,64,20,8,105809,41.24,209804,0.00,6.39,3.20,4,4
26,,99981,64,20,8,105809,40.76,209804,0.00,6.39,3.20,4,4
27,,100000,64,0,8,705809,40.76,209804,0.00,6.39,3.20,4,4
28,,100001,64,0,8,105809,40.27,209804,0.00,6.39,3.20,4,4
29,,100462,64,1,8,105513,40.42,209804,0.62,6.39,3.50,4,4
30,,99537,64,1,10,105808,40.33,209804,0.00,7.41,3.70,4,4
31,,100000,64,0,8,105809,40.00,209804,0.00,6.39,3.20,4,4
32,,100000,64,0,8,1005809,39.97,209804,0.00,6.39,3.20,4,4
33,,100000,64,0,8,905808,39.52,209804,0.00,6.39,3.20,4,4
34,,100000,64,0,8,1105808,39.58,209804,0.00,6.39,3.20,4,4
35,,100000,64,0,8,105809,39.55,209804,0.00,6.39,3.20,4,4
36,,100000,64,0,8,105809,39.52,209804,0.00,6.39,3.20,4,4
37,,100000,64,0,8,505513,39.27,209804,0.00,6.39,3.20,4,4
38,,100019,64,0,8,105809,38.82,209804,0.00,6.39,3.20,4,4
39,,100001,64,20,8,1505809,38.97,209804,0.64,7.37,4.00,4,4
40,,100443,64,20,8,3805809,40.09,209804,0.00,6.39,3.20,4,4
41,,99537,68,1,10,1705808,40.76,209804,0.00,6.39,3.20,4,4
42,,100019,64,0,8,105809,41.70,209804,0.00,6.39,3.20,4,4
43,,100000,64,20,8,,42.39,209804,0.00,6.39,3.20,4,4
44,,100000,64,20,8,,42.48,209804,0.00,6.39,3.20,4,4
45,,100000,64,20,8,,42.24,209804,0.00,6.39,3.20,4,4
46,,100000,64,20,8,,42.21,209804,0.00,6.39,3.20,4,4
47,,100000,64,20,8,,42.09,209804,0.00,6.39,3.20,4,4
48,,100000,64,20,8,,41.79,209804,0.73,7.35,4.04,4,4
49,,100000,64,20,8,,41.42,209804,0.00,6.39,3.20,4,4
50,,100001,64,20,8,,41.52,209804,0.00,6.39,3.20,4,4
51,,100463,64,20,8,,41.55,209804,0.00,6.39,3.20,4,4
52,,99536,64,21,10,,41.03,209804,0.00,6.39,3.20,4,4
53,,100000,64,20,8,,41.15,209804,0.00,6.39,3.20,4,4
54,,99981,64,20,8,,40.82,209804,0.00,6.39,3.20,4,4
55,,100000,64,0,8,,40.73,209804,0.00,6.39,3.20,4,4
56,,100000,64,0,8,,40.39,209804,0.00,6.39,3.20,4,4
57,,100000,64,0,8,,40.48,209804,0.62,7.37,4.00,4,4
58,,100000,64,0,8,,40.73,209804,0.00,6.39,3.20,4,4
59,,100000,64,0,8,,39.94,209804,0.00,6.39,3.20,4,4
60,,100000,64,0,8,,39.94,209804,0.00,6.39,3.20,4,4
61,,100001,64,0,8,,39.64,209804,0.00,6.39,3.20,4,4
62,,100462,64,1,8,,39.58,209804,0.00,6.39,3.20,4,4
63,,99537,64,1,10,,39.55,209804,0.00,6.39,3.20,4,4
64,,100000,64,0,8,,39.21,209804,0.00,6.39,3.20,4,4
65,,100000,64,0,8,,39.21,209804,0.00,6.39,3.20,4,4
66,,100019,64,0,8,,38.82,209804,0.62,7.37,4.00,4,4
