index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, temp_c, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,     95175181,        10000,        1586,             48,               31,       19824,  27.94,    171696,      0.93,     15.68,        8.31,              83,                 93
    1,             ,        10000,          58,             44,               31,      119824,  27.12,    123696,      0.93,     15.68,        8.30,               4,                  4
    2,             ,        10665,          58,             44,               31,      119824,  27.12,    123696,      0.93,     15.68,        8.30,               4,                  4
    3,             ,         9336,          58,             44,               33,      119824,  27.12,    123696,      0.97,     16.40,        8.68,               4,                  4
    4,             ,         9999,          58,             44,               31,      119824,  27.18,    123696,      1.88,     15.68,        8.78,               4,                  4
    5,             ,        10000,          58,             44,               31,      119824,  27.12,    123696,      0.93,     15.68,        8.30,               4,                  4
    6,             ,        10000,          58,             44,               31,            ,  27.12,    123696,      0.93,     15.68,        8.31,               4,                  4
    7,             ,        10000,          58,             44,               31,            ,  27.15,    123696,      0.93,     15.68,        8.30,               4,                  4
    8,             ,        10666,          58,             44,               31,            ,  27.00,    123696,      0.97,     15.68,        8.32,               4,                  4
    9,             ,         9335,          58,             44,               33,            ,  27.12,    123696,      1.88,     15.68,        8.78,               4,                  4
   10,             ,         9999,          58,             44,               31,            ,  27.12,    123696,      0.93,     15.68,        8.30,               4,                  4
   11,             ,        10000,          58,             44,               31,            ,  27.12,    123696,      0.93,     15.68,        8.30,               4,                  4
   12,             ,        10000,          58,               ,               31,            ,  27.12,    123696,      0.93,     16.40,        8.67,               4,                  4
   13,             ,        10000,          58,               ,               31,            ,  27.12,    123696,      0.97,     15.68,        8.32,               4,                  4
   14,             ,        10665,          58,               ,               31,            ,  27.12,    123696,      1.88,     15.68,        8.78,               4,                  4
   15,             ,         9336,          58,               ,               33,            ,  27.12,    123696,      0.93,     15.68,        8.31,               4,                  4
   16,             ,         9999,          58,               ,               31,            ,  27.15,    123696,      0.93,     15.68,        8.30,               4,                  4
