index, exec_time_us, loop_time_us, adc_time_us, heater_time_us, temp_get_time_us, e2e_time_us, temp_c, free_heap, cpu_core0, cpu_core1, cpu_overall, temp_mutex_wait, metrics_mutex_wait
    0,     95173549,        10000,        1588,            101,               67,      121107,  27.18,    171696,      1.62,     15.60,        8.61,              84,                 93
    1,             ,        10000,          58,             92,               67,      119771,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
    2,             ,        10663,          58,             92,               67,      119771,  27.15,    132872,      1.62,     15.59,        8.60,               4,                  4
    3,             ,         9338,          58,             92,               67,      119771,  27.12,    132872,      1.71,     16.33,        9.02,               4,                  4
    4,             ,         9999,          58,             92,               67,      119771,  27.09,    132872,      3.24,     15.59,        9.42,               4,                  4
    5,             ,        10000,          58,             92,               67,      119771,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
    6,             ,        10000,          58,             92,               67,            ,  27.12,    132872,      1.62,     15.60,        8.61,               4,                  4
    7,             ,        10000,          58,             92,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
    8,             ,        10663,          58,             92,               67,            ,  27.12,    132872,      1.72,     15.60,        8.66,               4,                  4
    9,             ,         9338,          58,             92,               67,            ,  27.12,    132872,      3.24,     15.60,        9.42,               4,                  4
   10,             ,         9999,          58,             92,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   11,             ,        10000,          58,             92,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   12,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.62,     16.32,        8.97,               4,                  4
   13,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.72,     15.60,        8.66,               4,                  4
   14,             ,        10663,          58,               ,               67,            ,  27.15,    132872,      3.24,     15.59,        9.42,               4,                  4
   15,             ,         9338,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.60,        8.61,               4,                  4
   16,             ,         9999,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   17,             ,        10000,          58,               ,               67,            ,  27.09,    132872,      1.62,     15.59,        8.60,               4,                  4
   18,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.71,     15.61,        8.66,               4,                  4
   19,             ,        10000,          58,               ,               67,            ,  27.09,    132872,      3.24,     15.59,        9.42,               4,                  4
   20,             ,        10663,          58,               ,               67,            ,  27.12,    132872,      1.62,     16.31,        8.96,               4,                  4
   21,             ,         9338,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.60,        8.61,               4,                  4
   22,             ,         9999,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   23,             ,        10000,          58,               ,               67,            ,  27.06,    132872,      1.72,     15.60,        8.66,               4,                  4
   24,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      3.24,     15.60,        9.42,               4,                  4
   25,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   26,             ,        10663,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   27,             ,         9338,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.60,        8.61,               4,                  4
   28,             ,         9999,          58,               ,               67,            ,  27.15,    132872,      1.72,     16.32,        9.02,               4,                  4
   29,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      3.24,     15.59,        9.42,               4,                  4
   30,             ,        10000,          58,               ,               67,            ,  27.00,    132872,      1.62,     15.60,        8.61,               4,                  4
   31,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   32,             ,        10663,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   33,             ,         9338,          58,               ,               67,            ,  27.09,    132872,      1.71,     15.61,        8.66,               4,                  4
   34,             ,         9999,          58,               ,               67,            ,  27.09,    132872,      3.24,     15.59,        9.42,               4,                  4
   35,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   36,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.60,        8.61,               4,                  4
   37,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.62,     16.31,        8.96,               4,                  4
   38,             ,        10663,          58,               ,               67,            ,  27.21,    132872,      1.72,     15.60,        8.66,               4,                  4
   39,             ,         9338,          58,               ,               67,            ,  27.15,    132872,      3.24,     15.60,        9.42,               4,                  4
   40,             ,         9999,          58,               ,               67,            ,  27.15,    132872,      1.62,     15.59,        8.60,               4,                  4
   41,             ,        10000,          58,               ,               67,            ,  27.06,    132872,      1.62,     15.59,        8.60,               4,                  4
   42,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.60,        8.61,               4,                  4
   43,             ,        10000,          58,               ,               67,            ,  27.18,    132872,      1.72,     15.60,        8.66,               4,                  4
   44,             ,        10663,          58,               ,               67,            ,  27.12,    132872,      3.24,     15.59,        9.42,               4,                  4
   45,             ,         9338,          58,               ,               67,            ,  27.12,    132872,      1.62,     16.32,        8.97,               4,                  4
   46,             ,         9999,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.59,        8.60,               4,                  4
   47,             ,        10000,          58,               ,               67,            ,  27.15,    132872,      1.62,     15.59,        8.60,               4,                  4
   48,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      1.71,     15.61,        8.66,               4,                  4
   49,             ,        10000,          58,               ,               67,            ,  27.12,    132872,      3.24,     15.59,        9.42,               4,                  4
   50,             ,        10663,          58,               ,               67,            ,  27.06,    132872,      1.62,     15.59,        8.60,               4,                  4
   51,             ,         9338,          58,               ,               67,            ,  27.12,    132872,      1.62,     15.60,        8.61,               4,                  4
   52,             ,         9999,          58,               ,               67,            ,  28.36,    132872,      1.62,     15.59,        8.60,               4,                  4
   53,             ,        10000,          58,               ,               67,            ,  29.58,    132872,      1.72,     16.32,        9.02,               4,                  4
   54,             ,        10000,          58,               ,               67,            ,  30.91,    132872,      3.24,     15.60,        9.42,               4,                  4
   55,             ,        10000,          58,               ,               67,            ,  31.94,    132872,      1.62,     15.59,        8.60,               4,                  4
   56,             ,        10663,          58,               ,               67,            ,  33.00,    132872,      1.62,     15.59,        8.60,               4,                  4
   57,             ,         9338,          58,               ,               67,            ,  34.18,    132872,      1.62,     15.60,        8.61,               4,                  4
   58,             ,         9999,          58,               ,               67,            ,  34.91,    132872,      1.72,     15.60,        8.66,               4,                  4
   59,             ,        10000,          58,               ,               67,            ,  35.91,    132872,      3.24,     15.59,        9.42,               4,                  4
   60,             ,        10000,          58,               ,               67,            ,  37.00,    132872,      1.62,     15.60,        8.61,               4,                  4
   61,             ,        10000,          58,               ,               67,            ,  37.94,    132872,      1.62,     15.59,        8.60,               4,                  4
   62,             ,        10663,          58,               ,               67,            ,  39.03,    132872,      1.62,     16.31,        8.96,               4,                  4
   63,             ,         9338,          58,               ,               67,            ,  40.09,    132872,      1.71,     15.61,        8.66,               4,                  4
   64,             ,         9999,          58,               ,               67,            ,  40.79,    132872,      3.24,     15.59,        9.42,               4,                  4
   65,             ,        10000,          58,               ,               67,            ,  41.79,    132872,      1.62,     15.59,        8.60,               4,                  4
   66,             ,        10000,          58,               ,               67,            ,  42.58,    132872,      1.62,     15.60,        8.61,               4,                  4
   67,             ,        10000,          58,               ,               67,            ,  43.82,    132872,      1.62,     15.59,        8.60,               4,                  4
   68,             ,        10663,          58,               ,               67,            ,  44.42,    132872,      1.72,     15.60,        8.66,               4,                  4
   69,             ,         9338,          58,               ,               67,            ,  45.42,    132872,      3.24,     15.60,        9.42,               4,                  4
   70,             ,         9999,          58,               ,               67,            ,  46.27,    132872,      1.62,     16.31,        8.96,               4,                  4
   71,             ,        10000,          58,               ,               67,            ,  47.09,    132872,      1.62,     15.59,        8.60,               4,                  4
   72,             ,        10000,          58,               ,               67,            ,  47.97,    132872,      1.62,     15.60,        8.61,               4,                  4
   73,             ,        10000,          58,               ,               67,            ,  48.88,    132872,      1.72,     15.60,        8.66,               4,                  4
   74,             ,        10663,          58,               ,               67,            ,  49.58,    132872,      3.24,     15.59,        9.42,               4,                  4
   75,             ,         9338,          58,               ,               67,            ,  50.64,    132872,      1.62,     15.60,        8.61,               4,                  4
   76,             ,         9999,          58,               ,               67,            ,  51.03,    132872,      1.62,     15.59,        8.60,               4,                  4
   77,             ,        10000,          58,               ,               67,            ,  51.64,    132872,      1.62,     15.59,        8.60,               4,                  4
   78,             ,        10000,          58,               ,               67,            ,  52.42,    132872,      1.71,     16.33,        9.02,               4,                  4
   79,             ,        10000,          58,               ,               67,            ,  53.24,    132872,      3.24,     15.59,        9.42,               4,                  4
   80,             ,        10663,          58,               ,               67,            ,  54.30,    132872,      1.62,     15.59,        8.60,               4,                  4
   81,             ,         9338,          58,               ,               67,            ,  55.00,    132872,      1.62,     15.60,        8.61,               4,                  4
   82,             ,         9999,          58,               ,               67,            ,  54.61,    132872,      1.62,     15.59,        8.60,               4,                  4
   83,             ,        10000,          58,               ,               67,            ,  54.39,    132872,      1.72,     15.60,        8.66,               4,                  4
   84,             ,        10000,          58,               ,               67,            ,  53.94,    132872,      3.24,     15.60,        9.42,               4,                  4
   85,             ,        10000,          58,               ,               67,            ,  53.58,    132872,      1.62,     15.59,        8.60,               4,                  4
   86,             ,        10663,          58,               ,               67,            ,  53.00,    132872,      1.62,     15.59,        8.60,               4,                  4
   87,             ,         9338,          58,               ,               67,            ,  52.76,    132872,      1.62,     16.32,        8.97,               4,                  4
   88,             ,         9999,          58,               ,               67,            ,  52.91,    132872,      1.72,     15.60,        8.66,               4,                  4
   89,             ,        10000,          58,               ,               67,            ,  52.36,    132872,      3.24,     15.59,        9.42,               4,                  4
   90,             ,        10000,          58,               ,               67,            ,  51.97,    132872,      1.62,     15.60,        8.61,               4,                  4
   91,             ,        10000,          58,               ,               67,            ,  51.61,    132872,      1.62,     15.59,        8.60,               4,                  4
