index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,109264347,100000,85,444,96,28085,42.48,129128,0.00,16.74,8.37,12,4
1,,100000,89,122,65,26769,42.18,129128,0.00,16.75,8.38,16,5
2,,100000,85,115,61,26656,42.24,129128,0.00,17.68,8.84,12,4
3,,100000,89,115,61,27718,42.12,129128,0.00,16.74,8.37,16,5
4,,100000,85,115,61,27656,41.88,129128,0.00,16.75,8.38,12,4
5,,100062,89,115,61,27652,41.73,129128,0.00,16.74,8.37,16,5
6,,99938,85,115,61,27722,41.30,129128,2.60,16.74,9.67,12,4
7,,100000,89,115,61,27652,41.42,129128,0.00,16.75,8.38,16,5
8,,100063,85,115,61,27656,41.24,129128,0.00,16.74,8.37,12,4
9,,8189789,89,115,61,27721,41.06,129128,0.00,16.74,8.37,16,5
10,,100286,85,115,61,156640,40.73,129128,0.00,17.73,8.86,12,5
11,,99964,89,115,61,156651,40.76,129128,0.00,16.74,8.37,16,5
12,,100000,85,115,61,156651,40.36,129128,0.00,16.74,8.37,12,4
13,,100000,89,115,61,56651,40.39,129128,0.00,16.75,8.38,16,5
14,,100000,85,115,61,156655,40.36,129128,2.60,16.74,9.67,12,4
15,,100000,89,115,61,56655,39.91,129128,0.00,16.74,8.37,16,5
16,,100000,85,115,61,156651,39.94,129128,0.00,16.75,8.38,12,5
17,,100000,89,115,61,56651,39.61,129128,0.00,16.74,8.37,16,5
18,,100000,85,115,61,156655,39.61,129128,0.00,16.74,8.37,12,4
19,,100000,89,115,61,156655,39.55,129128,0.00,17.69,8.85,16,5
20,,100000,85,115,61,156655,39.15,129128,0.00,16.74,8.37,12,4
21,,100000,89,115,61,156651,39.21,129128,0.00,16.74,8.37,16,4
22,,100000,85,115,61,56655,39.27,129128,2.60,16.75,9.68,12,4
23,,100000,89,115,61,56651,38.94,129128,0.00,16.74,8.37,16,4
24,,100000,85,115,61,156655,39.24,129128,0.00,16.74,8.37,12,4
25,,100000,89,115,61,156655,40.42,129128,0.00,16.75,8.38,16,4
26,,100000,85,115,61,156651,41.09,129128,0.00,16.74,8.37,12,4
27,,100000,89,115,61,56655,41.30,129128,0.00,17.72,8.86,16,5
28,,100000,85,115,61,156651,41.42,129128,0.00,16.74,8.37,12,4
29,,100000,89,115,61,56651,41.39,129128,0.00,16.74,8.37,16,5
30,,100000,85,115,61,56655,41.03,129128,0.00,16.74,8.37,12,5
31,,100000,89,115,61,156651,41.09,129128,2.60,16.75,9.68,16,4
32,,100000,85,115,61,56651,40.67,129128,0.00,16.74,8.37,12,4
33,,100000,89,115,61,156655,40.88,129128,0.00,16.74,8.37,16,5
34,,100000,85,115,61,56655,40.30,129128,0.00,16.88,8.44,12,4
35,,100000,89,115,61,156651,40.36,129128,0.00,17.68,8.84,16,4
36,,100000,85,115,61,156655,40.36,129128,0.00,16.74,8.37,12,5
37,,100000,89,115,61,56651,40.03,129128,0.00,16.75,8.38,16,5
38,,100000,85,115,61,156651,40.00,129128,0.00,16.74,8.37,12,4
39,,100000,89,115,61,156655,39.55,129128,2.60,16.74,9.67,16,4
40,,100000,85,115,61,56655,39.67,129128,0.00,16.75,8.38,12,4
41,,100000,89,115,61,156655,39.58,129128,0.00,16.74,8.37,16,5
42,,100000,85,115,61,156651,39.21,129128,0.00,16.74,8.37,12,4
43,,100000,89,115,61,56651,39.18,129128,0.00,16.75,8.38,16,5
44,,100000,85,115,61,156651,38.91,129128,0.00,17.72,8.86,12,4
45,,100000,89,115,61,156655,39.73,129128,0.00,16.74,8.37,16,4
46,,100000,85,115,61,156655,40.30,129128,0.00,16.75,8.38,12,4
47,,100000,89,115,61,56655,41.39,129128,2.60,16.74,9.67,16,5
48,,100000,85,115,61,156651,41.82,129128,0.00,16.74,8.37,12,5
49,,100000,89,115,61,56651,41.42,129128,0.00,16.75,8.38,16,4
50,,100000,85,115,61,,41.52,129128,0.00,16.74,8.37,12,4
51,,100000,89,115,61,,41.06,129128,0.00,16.74,8.37,16,5
52,,100000,85,115,61,,41.12,129128,0.00,17.69,8.85,12,4
53,,100000,89,115,61,,40.73,129128,0.00,16.74,8.37,16,5
54,,100000,85,115,61,,40.76,129128,0.00,16.74,8.37,12,4
55,,100000,89,115,61,,40.76,129128,0.00,16.75,8.38,16,5
56,,100000,85,115,61,,40.39,129128,2.60,16.74,9.67,12,4
57,,100000,89,115,61,,40.30,129128,0.00,16.74,8.37,16,5
58,,100000,85,115,61,,39.91,129128,0.00,16.75,8.38,12,4
59,,100000,89,115,61,,39.94,129128,0.00,16.74,8.37,16,5
60,,100000,85,115,61,,39.94,129128,0.00,17.72,8.86,12,4
61,,100000,89,115,61,,39.58,129128,0.00,16.74,8.37,16,5
62,,100000,85,115,61,,39.55,129128,0.00,16.74,8.37,12,4
63,,100000,89,115,61,,39.21,129128,0.00,16.74,8.37,16,5
64,,100000,85,115,61,,39.48,129128,2.60,16.75,9.68,12,4
65,,100000,89,115,61,,39.18,129128,0.00,16.74,8.37,16,5
66,,100000,85,115,61,,38.88,129128,0.00,16.74,8.37,12,4
67,,100000,89,115,61,,39.21,129128,0.00,16.75,8.38,16,5
68,,100000,85,115,61,,40.36,129128,0.00,16.74,8.37,12,4
69,,100000,89,115,61,,41.18,129128,0.00,17.68,8.84,16,4
70,,100000,85,115,61,,41.91,129128,0.00,16.75,8.38,12,4
71,,100000,89,115,61,,41.39,129128,0.00,16.74,8.37,16,5
72,,100000,85,115,61,,41.52,129128,2.60,16.74,9.67,12,5
73,,100000,89,115,61,,41.09,129128,0.00,16.75,8.38,16,5
74,,100000,85,115,61,,41.00,129128,0.00,16.74,8.37,12,4
75,,100000,89,115,61,,40.82,129128,0.00,16.74,8.37,16,5
76,,100000,85,115,61,,40.70,129128,0.00,16.75,8.38,12,4
77,,100000,89,115,61,,40.45,129128,0.00,17.72,8.86,16,5
78,,100000,85,115,61,,40.36,129128,0.00,16.74,8.37,12,4
79,,100000,89,115,61,,40.27,129128,0.00,16.75,8.38,16,5
80,,100000,85,115,61,,39.94,129128,0.00,16.74,8.37,12,4
81,,100000,89,115,61,,40.00,129128,2.60,16.74,9.67,16,5
82,,100000,85,115,61,,39.55,129128,0.00,16.75,8.38,12,4
83,,100000,89,115,61,,39.58,129128,0.00,16.74,8.37,16,4
84,,100000,85,115,61,,39.55,129128,0.00,16.74,8.37,12,5
