index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,103315957,100000,85,124,61,30402,41.45,124368,0.00,17.38,8.69,12,5
1,,100000,89,70,33,28959,41.09,124368,0.00,17.38,8.69,16,5
2,,99952,85,62,33,29835,41.00,124368,0.00,17.38,8.69,12,4
3,,100000,89,62,33,29831,41.24,124368,0.00,17.38,8.69,16,5
4,,100000,85,62,33,28964,40.79,124368,0.00,18.33,9.16,12,5
5,,100000,89,62,33,29831,40.76,124368,1.26,17.40,9.33,16,5
6,,100000,85,62,33,29835,40.30,124368,0.00,17.38,8.69,12,5
7,,100000,89,62,33,28965,40.42,124368,0.00,17.38,8.69,16,5
8,,100000,85,62,33,29835,40.00,124368,0.00,17.38,8.69,12,5
9,,2241496,89,62,33,29831,40.00,124368,0.00,17.38,8.69,16,5
10,,99606,85,62,33,88775,39.91,124368,0.00,17.38,8.69,12,4
11,,99992,89,62,33,88771,39.55,124368,0.00,17.38,8.69,16,5
12,,100000,85,62,33,88775,39.61,124368,0.00,17.38,8.69,12,5
13,,100000,89,62,33,88771,39.21,124368,0.00,18.36,9.18,16,5
14,,100000,85,62,33,88775,39.30,124368,1.66,17.40,9.53,12,5
15,,100000,89,62,33,88771,39.21,124368,0.00,17.38,8.69,16,5
16,,100000,85,62,33,88771,39.03,124368,0.00,17.38,8.69,12,5
17,,100000,89,62,33,88775,38.94,124368,0.00,17.38,8.69,16,5
18,,100000,85,62,33,88775,39.94,124368,0.00,17.38,8.69,12,5
19,,100000,89,62,33,88771,40.76,124368,0.00,17.38,8.69,16,5
20,,100000,85,62,33,88775,41.82,124368,0.00,17.38,8.69,12,4
21,,100000,88,62,33,88771,41.55,124368,0.00,18.33,9.16,16,4
22,,100000,85,62,33,88775,41.52,124368,1.26,17.40,9.33,12,5
23,,100000,89,62,33,88771,41.09,124368,0.00,17.38,8.69,16,5
24,,100000,85,62,33,88775,41.06,124368,0.00,17.38,8.69,12,5
25,,100000,88,62,33,88771,40.76,124368,0.00,17.38,8.69,16,4
26,,100000,85,62,33,88775,40.73,124368,0.00,17.38,8.69,12,5
27,,100000,88,62,33,88771,40.76,124368,0.00,17.38,8.69,16,4
28,,100000,85,62,33,88775,40.24,124368,0.00,17.38,8.69,12,4
29,,100000,89,62,33,88775,40.36,124368,0.00,18.36,9.18,16,5
30,,100000,85,62,33,88771,39.94,124368,1.26,17.40,9.33,12,5
31,,100000,89,62,33,88771,40.09,124368,0.00,17.38,8.69,16,5
32,,100000,85,62,33,88775,39.94,124368,0.00,17.38,8.69,12,4
33,,100000,89,62,33,88771,39.70,165648,0.00,17.38,8.69,16,4
34,,100000,85,62,33,88771,55.42,124368,0.00,17.38,8.69,16,5
35,,100000,88,62,33,88774,55.18,124368,0.00,17.38,8.69,16,4
36,,100000,85,62,33,88771,54.55,124368,0.00,17.38,8.69,12,5
