index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,103333711,99938,85,454,96,28972,39.73,129128,0.00,17.36,8.68,12,4
1,,100001,89,123,65,28624,39.67,129128,0.00,17.36,8.68,16,4
2,,99999,85,114,60,28656,39.55,129128,0.00,17.36,8.68,12,4
3,,100000,89,115,61,28652,39.21,129128,0.00,17.36,8.68,16,5
4,,100001,85,114,61,28656,39.15,129128,0.00,18.30,9.15,12,4
5,,99999,89,114,60,28652,38.94,129128,0.00,17.38,8.69,16,4
6,,100000,85,115,61,28656,40.03,129128,0.00,17.36,8.68,12,4
7,,100001,89,114,61,28652,41.12,129128,3.16,17.36,10.26,16,4
8,,99999,85,114,60,28656,40.76,129128,0.00,17.36,8.68,12,4
9,,2260822,89,115,61,28652,40.70,129128,0.00,17.36,8.68,16,4
10,,100257,85,114,61,67634,40.24,129128,0.00,17.36,8.68,12,4
11,,99961,89,114,60,67654,40.27,129128,0.00,17.36,8.68,16,4
12,,99999,85,115,61,67655,40.27,129128,0.00,17.36,8.68,12,4
13,,100000,89,114,61,67651,39.97,129128,0.00,18.33,9.17,16,4
14,,100001,85,114,60,67655,39.94,129128,0.00,17.38,8.69,12,4
15,,99999,89,115,61,67655,39.67,129128,0.00,17.36,8.68,16,5
16,,100000,85,114,61,67651,39.55,129128,3.17,17.36,10.26,12,4
17,,100001,89,114,60,67655,39.42,129128,0.00,17.36,8.68,16,4
18,,99999,85,114,61,67651,39.27,129128,0.00,17.36,8.68,12,4
19,,100000,89,114,61,67655,39.21,129128,0.00,17.36,8.68,16,4
20,,100001,85,114,60,67651,38.97,129128,0.00,17.36,8.68,12,4
21,,99999,89,115,61,67655,39.94,129128,0.00,18.30,9.15,16,4
22,,100000,85,114,61,67651,41.06,129128,0.00,17.38,8.69,12,4
23,,100001,89,114,60,67655,40.70,129128,0.00,17.36,8.68,16,4
24,,99999,85,115,61,67651,40.76,129128,3.15,17.36,10.25,12,4
25,,100000,89,114,61,67655,40.36,129128,0.00,17.36,8.68,16,4
26,,100001,85,114,60,67654,40.30,129128,0.00,17.36,8.68,12,4
27,,99999,89,115,61,67655,39.94,129128,0.00,17.36,8.68,16,4
28,,100000,85,115,61,67651,39.94,129128,0.00,17.36,8.68,12,4
29,,100001,89,114,60,67655,39.91,129128,0.00,18.33,9.17,16,4
30,,99999,85,115,61,67655,39.64,129128,0.00,17.38,8.69,12,4
31,,100000,89,114,61,67651,39.67,129128,0.00,17.36,8.68,16,4
32,,100001,85,114,60,67655,39.18,129128,3.16,17.36,10.26,12,4
33,,99999,89,115,61,67651,39.21,129128,0.00,17.36,8.68,16,4
34,,100000,85,114,61,67650,55.33,129128,0.00,17.36,8.68,12,4
35,,100001,89,114,60,67654,55.03,129128,0.00,17.36,8.68,16,4
36,,99999,85,115,61,67650,54.64,129128,0.00,17.36,8.68,12,4
37,,100000,89,114,61,67654,54.24,129128,0.00,17.36,8.68,16,5
38,,100001,85,114,60,67655,53.91,129128,0.00,18.43,9.22,12,4
39,,99999,89,115,61,67651,53.48,129128,0.00,17.38,8.69,16,4
40,,100000,85,114,61,67655,53.48,129128,0.00,17.36,8.68,12,4
41,,100001,89,114,60,67655,53.15,129128,3.17,17.36,10.26,16,4
42,,99999,85,115,61,67651,52.76,129128,0.00,17.36,8.68,12,4
43,,100000,89,114,61,67655,52.33,129128,0.00,17.36,8.68,16,4
44,,100001,85,114,60,67651,52.03,129128,0.00,17.36,8.68,12,4
45,,99999,89,115,61,67655,51.64,129128,0.00,17.36,8.68,16,4
46,,100000,85,114,61,67651,51.61,129128,0.00,18.33,9.17,12,4
47,,100001,89,114,60,67655,51.30,129128,0.00,17.38,8.69,16,5
48,,99999,85,114,61,67651,50.88,129128,0.00,17.36,8.68,12,4
49,,100000,89,114,61,67650,51.03,129128,3.16,17.36,10.26,16,4
50,,100001,85,114,60,67654,50.73,129128,0.00,17.36,8.68,12,4
51,,99999,89,115,61,67655,50.64,129128,0.00,17.36,8.68,16,4
52,,100000,85,114,61,67650,50.36,129128,0.00,17.36,8.68,12,4
53,,100001,89,114,60,67651,50.09,129128,0.00,17.36,8.68,16,4
54,,99999,85,115,61,67655,50.00,129128,0.00,18.30,9.15,12,4
55,,100000,89,114,61,67651,49.55,129128,0.00,17.38,8.69,16,5
56,,100001,85,114,60,67655,49.15,129128,0.00,17.36,8.68,12,4
57,,99999,89,115,61,67651,48.94,129128,2.60,17.36,9.98,16,4
58,,100000,85,115,61,67655,48.82,129128,0.00,17.36,8.68,12,4
59,,100001,89,114,60,,48.52,129128,0.00,17.36,8.68,16,4
60,,99999,85,115,61,,48.09,129128,0.00,17.36,8.68,12,4
61,,100000,89,114,61,,48.06,129128,0.00,17.36,8.68,16,4
62,,100001,85,114,60,,47.73,129128,0.00,17.36,8.68,12,4
63,,99999,89,115,61,,47.33,129128,0.00,18.33,9.17,16,4
64,,100000,85,114,61,,47.52,129128,0.00,17.38,8.69,12,4
65,,100001,89,169,60,,47.15,129128,0.00,17.36,8.68,16,4
66,,99999,85,44,81,,46.70,129128,2.61,17.36,9.98,12,4
67,,100000,89,43,61,,46.55,129128,0.00,17.36,8.68,16,4
68,,100001,85,43,60,,46.24,129128,0.00,17.36,8.68,12,5
69,,99999,89,44,61,,46.36,129128,0.00,17.36,8.68,16,4
70,,100000,85,43,61,,45.94,129128,0.00,17.36,8.68,12,4
71,,100001,89,43,60,,45.55,129128,0.00,18.30,9.15,16,4
72,,99999,85,44,61,,45.55,129128,0.00,17.38,8.69,12,4
73,,100000,89,43,61,,45.18,129128,0.00,17.36,8.68,16,4
