index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,109264960,100000,85,447,96,28979,39.94,129128,0.00,16.72,8.36,12,4
1,,100000,89,129,64,28624,39.64,129128,0.00,16.72,8.36,16,4
2,,100000,85,114,61,28656,39.52,129128,0.00,17.66,8.83,12,4
3,,100000,89,114,61,28652,39.73,129128,0.00,16.72,8.36,16,4
4,,100000,85,114,61,28656,39.42,129128,0.00,16.72,8.36,12,4
5,,100000,89,114,61,28652,39.21,129128,0.00,16.72,8.36,16,4
6,,100000,85,114,61,28656,38.94,129128,3.15,16.72,9.93,12,4
7,,100000,89,114,61,28652,39.55,129128,0.00,16.72,8.36,16,4
8,,100000,85,114,61,28656,40.33,129128,0.00,16.72,8.36,12,4
9,,8190139,89,114,61,28652,41.39,129128,0.00,16.72,8.36,16,4
10,,101718,85,114,61,153639,41.73,129128,0.95,17.51,9.23,12,4
11,,100182,89,114,61,53655,41.39,129128,0.00,16.85,8.43,16,5
12,,100000,85,114,61,153655,41.48,129128,0.00,16.72,8.36,12,4
13,,100000,89,114,61,153651,41.03,129128,0.00,16.72,8.36,16,4
14,,100000,85,114,61,53651,41.09,129128,3.16,16.72,9.94,12,4
15,,100000,89,114,61,153655,40.76,129128,0.00,16.72,8.36,16,4
16,,100000,85,114,61,153655,40.73,129128,0.00,16.72,8.36,12,4
17,,100000,89,114,61,53655,40.67,129128,0.00,16.72,8.36,16,4
18,,100000,85,114,61,153651,40.39,129128,0.00,16.72,8.36,12,4
19,,100000,89,114,61,153651,40.36,129128,0.00,17.66,8.83,16,4
20,,100000,85,114,61,153655,39.94,129128,0.00,16.72,8.36,12,4
21,,100000,89,114,61,153655,40.06,129128,0.00,16.72,8.36,16,4
22,,100000,85,114,61,53655,39.94,129128,0.00,16.72,8.36,12,4
23,,100000,89,114,61,153655,39.67,129128,3.15,16.72,9.94,16,4
24,,100000,85,114,61,153651,39.67,129128,0.00,16.72,8.36,12,4
25,,100000,89,114,61,53651,39.39,129128,0.00,16.72,8.36,16,4
26,,100000,85,114,61,53651,39.21,129128,0.00,16.72,8.36,12,4
27,,100000,89,114,61,53655,39.33,129128,0.00,17.69,8.85,16,4
28,,100000,85,114,61,153655,38.79,129128,0.00,16.72,8.36,12,4
29,,100000,89,114,61,153651,39.21,129128,0.00,16.72,8.36,16,4
30,,100000,85,114,61,53651,40.36,129128,0.00,16.72,8.36,12,4
31,,100000,89,114,61,153655,41.39,129128,2.60,16.72,9.66,16,5
32,,100000,85,114,61,153655,41.73,129128,0.00,16.72,8.36,12,4
33,,100000,89,114,61,53655,41.52,129128,0.00,16.72,8.36,16,4
34,,100000,85,114,61,153655,41.39,129128,0.00,16.85,8.42,12,4
35,,100000,89,114,61,153651,41.09,129128,0.92,17.49,9.20,16,4
36,,100000,85,114,61,53651,41.06,129128,0.00,16.85,8.42,12,4
37,,100000,89,114,61,153651,40.79,129128,0.00,16.72,8.36,16,4
38,,100000,85,114,61,153655,40.76,129128,0.00,16.72,8.36,12,4
39,,100000,89,114,61,153651,40.36,129128,2.60,16.72,9.66,16,4
40,,100000,85,114,61,53655,40.33,129128,0.00,16.72,8.36,12,4
41,,100000,89,114,61,153651,40.36,129128,0.00,16.72,8.36,16,4
42,,100000,85,114,61,153651,40.12,129128,0.00,16.72,8.36,12,4
43,,100000,89,114,61,153655,39.94,129128,0.00,16.72,8.36,16,5
44,,100000,85,114,61,153655,39.61,129128,0.00,17.69,8.85,12,4
45,,100000,89,114,61,53655,39.70,129128,0.00,16.72,8.36,16,4
46,,100000,85,114,61,153651,39.67,129128,0.00,16.72,8.36,12,4
47,,100000,89,114,61,53651,39.33,129128,0.00,16.72,8.36,16,4
48,,100000,85,114,61,153655,39.18,129128,2.60,16.72,9.66,12,4
49,,100000,89,114,61,,38.82,129128,0.00,16.72,8.36,16,4
50,,100000,85,114,61,,39.67,129128,0.00,16.72,8.36,12,4
51,,100000,89,114,61,,40.30,129128,0.00,16.72,8.36,16,4
52,,100000,85,114,61,,41.39,129128,0.00,17.66,8.83,12,4
53,,100000,89,114,61,,41.97,129128,0.00,16.72,8.36,16,5
54,,100000,85,114,61,,41.48,129128,0.00,16.72,8.36,12,4
55,,100000,89,114,61,,41.55,129128,0.00,16.72,8.36,16,4
56,,100000,85,114,61,,41.09,129128,2.60,16.72,9.66,12,4
57,,100000,89,114,61,,41.09,129128,0.00,16.72,8.36,16,4
58,,100000,85,114,61,,41.12,129128,0.00,16.72,8.36,12,4
59,,100000,89,114,61,,40.67,129128,0.00,16.72,8.36,16,4
60,,100000,85,114,61,,40.79,129128,0.95,17.51,9.23,12,4
61,,100000,89,114,61,,40.33,129128,0.00,16.85,8.43,16,4
62,,100000,85,114,61,,40.36,129128,0.00,16.72,8.36,12,4
63,,100000,89,114,61,,40.12,129128,0.00,16.72,8.36,16,5
64,,100000,85,114,61,,39.94,129128,2.60,16.72,9.66,12,4
65,,100000,89,114,61,,40.09,129128,0.00,16.72,8.36,16,4
66,,100000,85,114,61,,39.55,129128,0.00,16.72,8.36,12,4
67,,100000,89,114,61,,39.58,129128,0.00,16.72,8.36,16,4
68,,100000,85,114,61,,39.21,129128,0.00,16.72,8.36,12,4
69,,100000,89,114,61,,39.21,129128,0.00,17.66,8.83,16,4
70,,100000,85,114,61,,39.21,129128,0.00,16.72,8.36,12,4
71,,100000,89,114,61,,38.88,129128,0.00,16.72,8.36,16,4
72,,100000,85,114,61,,39.21,129128,0.00,16.72,8.36,12,4
73,,100000,89,114,61,,40.24,129128,2.60,16.72,9.66,16,5
74,,100000,85,114,61,,41.42,129128,0.00,16.72,8.36,12,4
75,,100000,89,114,61,,41.73,129128,0.00,16.72,8.36,16,4
76,,100000,85,114,61,,41.55,129128,0.00,16.72,8.36,12,4
77,,100000,89,114,61,,41.52,129128,0.00,17.69,8.85,16,4
78,,100000,85,114,61,,41.12,129128,0.00,16.72,8.36,12,4
79,,100000,89,114,61,,41.21,129128,0.00,16.72,8.36,16,4
80,,100000,85,114,61,,40.70,129128,0.00,16.72,8.36,12,4
81,,100000,89,114,61,,40.76,129128,2.60,16.72,9.66,16,4
82,,100000,85,114,61,,40.36,129128,0.00,16.72,8.36,12,4
83,,100000,89,114,61,,40.36,129128,0.00,16.72,8.36,16,4
84,,100000,85,114,61,,40.33,129128,0.00,16.72,8.36,12,4
85,,100000,89,114,61,,39.94,129128,0.92,17.49,9.21,16,4
86,,100000,85,114,61,,39.94,129128,0.00,16.84,8.42,12,4
87,,100000,89,114,61,,39.67,129128,0.00,16.72,8.36,16,4
88,,100000,85,114,61,,39.64,129128,0.00,16.72,8.36,12,4
89,,100000,89,114,61,,39.73,129128,2.60,16.72,9.66,16,4
90,,100000,85,114,61,,39.18,129128,0.00,16.72,8.36,12,4
91,,100000,89,114,61,,39.39,129128,0.00,16.72,8.36,16,4
92,,100000,85,114,61,,39.00,129128,0.00,16.72,8.36,12,4
93,,100000,97,114,61,,86.27,129128,0.00,16.72,8.36,16,4
94,,100000,93,114,61,,85.61,129128,0.00,17.69,8.85,13,4
95,,100000,97,114,61,,85.00,129128,0.00,16.72,8.36,16,4
96,,100000,93,114,61,,84.18,129128,0.00,16.72,8.36,12,4
97,,100000,97,114,61,,83.67,129128,0.00,16.72,8.36,16,4
98,,100000,93,114,61,,82.85,129128,2.60,16.72,9.66,12,4
99,,100000,97,114,61,,82.61,129128,0.00,16.72,8.36,16,4
100,,100000,93,114,61,,81.79,129128,0.00,16.72,8.36,13,4
101,,100000,97,114,61,,81.12,129128,0.00,16.72,8.36,16,4
102,,100000,93,114,61,,80.48,129128,0.00,17.66,8.83,13,4
103,,100000,97,114,61,,79.85,129128,0.00,16.72,8.36,16,4
104,,100000,93,114,61,,79.55,129128,0.00,16.72,8.36,13,4
105,,100000,89,114,61,,78.88,129128,0.00,16.72,8.36,17,4
106,,100000,85,114,61,,78.18,129128,2.60,16.72,9.66,13,4
107,,100000,89,114,61,,77.85,129128,0.00,16.72,8.36,16,4
108,,100000,90,114,61,,77.18,129128,0.00,16.72,8.36,12,5
109,,100000,89,114,61,,76.70,129128,0.00,16.72,8.36,16,4
110,,100000,85,114,61,,76.39,129128,0.96,17.52,9.24,12,4
111,,100000,89,114,61,,75.55,129128,0.00,16.85,8.42,16,4
112,,100000,85,114,61,,75.21,129128,0.00,16.72,8.36,12,4
113,,100000,89,114,61,,74.06,129128,0.00,16.72,8.36,16,4
114,,100000,85,114,61,,73.61,129128,2.60,16.72,9.66,12,4
115,,100000,89,114,61,,72.94,129128,0.00,16.72,8.36,16,5
116,,100000,85,114,61,,72.48,129128,0.00,16.72,8.36,12,4
117,,100000,89,114,61,,71.76,129128,0.12,16.83,8.48,16,4
