index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,200318185,99636,57,127,52,124332,40.03,128600,0.00,15.65,7.83,4,4
1,,99988,57,45,31,24756,39.94,128600,0.01,15.66,7.83,4,4
2,,100001,57,45,32,24757,39.94,128600,0.00,15.65,7.83,5,4
3,,99999,58,45,32,24756,39.55,128600,0.70,16.25,8.48,4,5
4,,100000,57,45,32,24756,41.03,128600,0.00,15.77,7.89,4,4
5,,100001,57,45,32,24756,41.12,128600,0.00,15.65,7.83,5,4
6,,99999,57,45,32,24756,41.09,128600,1.59,15.65,8.62,5,4
7,,100000,57,45,32,24756,40.76,128600,0.01,15.66,7.83,4,4
8,,100006,57,45,32,24756,40.61,128600,0.00,15.65,7.83,5,4
9,,99994,57,49,32,24756,40.52,128600,0.00,15.65,7.83,5,4
10,,100000,57,45,32,24756,40.36,128600,0.01,15.66,7.83,5,4
11,,100001,57,45,32,24756,40.03,128600,0.00,15.65,7.83,4,4
12,,99999,57,45,32,124756,40.45,128600,0.00,16.36,8.18,5,4
13,,100000,57,45,32,124756,40.79,128600,0.01,15.66,7.83,4,4
14,,100002,57,45,32,124756,40.39,128600,1.58,15.66,8.62,4,4
15,,99998,57,45,32,124756,40.27,128600,0.00,15.64,7.82,5,4
16,,100000,57,45,32,124756,40.30,128600,0.01,15.66,7.83,5,4
17,,100001,57,45,32,124756,40.30,128600,0.00,15.65,7.83,4,4
18,,99999,57,45,32,124756,40.27,128600,0.00,15.65,7.83,5,4
19,,100001,57,45,32,124756,40.03,128600,0.01,15.66,7.83,5,4
20,,100000,57,45,32,124756,40.09,128600,0.00,16.36,8.18,4,4
21,,99999,57,45,32,124756,40.30,128600,0.01,15.66,7.83,5,4
22,,100000,57,45,32,124756,39.94,128600,1.58,15.65,8.62,4,4
