index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100004627,99667,440,170,44,12784,32.18,210048,0.00,6.39,3.20,8,16
1,,99972,97,40,16,13831,33.15,210048,0.62,6.39,3.50,8,8
2,,100000,97,20,8,13839,34.18,210048,0.00,6.39,3.20,8,8
3,,100002,96,20,8,13542,35.61,210048,0.00,7.64,3.82,8,8
4,,100454,97,20,8,113838,35.94,210048,0.00,6.49,3.25,7,8
5,,99545,97,21,10,13839,37.06,210048,0.00,6.39,3.20,8,8
6,,99999,97,20,8,13839,37.82,210048,0.00,6.39,3.20,7,8
7,,99981,97,20,8,13839,39.03,210048,0.00,6.39,3.20,7,8
8,,100000,97,1,8,13542,39.58,210048,0.00,6.39,3.20,8,8
9,,100000,97,1,8,13839,40.76,210048,0.00,6.39,3.20,8,8
10,,100019,97,1,8,13839,41.39,210048,0.00,6.39,3.20,8,8
11,,100000,97,20,8,13839,41.82,210048,0.63,6.39,3.51,8,8
12,,100000,97,20,8,113839,41.94,210048,0.00,7.64,3.82,8,8
13,,100000,97,20,8,113839,41.85,210048,0.00,6.45,3.23,8,8
14,,100001,97,20,8,13839,41.82,210048,0.00,6.38,3.19,8,8
15,,100455,97,20,8,13839,41.55,210048,0.00,6.39,3.20,8,8
16,,99544,97,20,10,13384,41.52,210048,0.00,6.39,3.20,7,8
17,,100000,97,20,8,13839,41.15,210048,0.00,6.39,3.20,7,8
18,,100000,97,20,8,113839,41.06,210048,0.00,6.39,3.20,7,8
19,,100000,97,20,8,113384,41.15,210048,0.00,6.39,3.20,8,8
20,,100000,97,20,8,13839,41.03,210048,0.55,6.37,3.46,8,8
21,,99981,97,20,8,13839,40.82,210048,0.00,7.63,3.81,8,8
22,,100000,97,1,8,13839,40.79,210048,0.00,6.45,3.23,8,8
23,,100000,97,1,8,13839,40.76,210048,0.00,6.38,3.19,8,8
24,,100000,97,1,8,13384,40.30,210048,0.00,6.39,3.20,7,8
25,,100001,96,1,8,13839,40.64,210048,0.00,6.39,3.20,8,8
26,,100454,97,1,8,13839,40.36,210048,0.00,6.39,3.20,8,8
27,,99545,97,1,10,13839,40.27,210048,0.00,6.39,3.20,8,8
28,,100000,97,1,8,13384,39.97,210048,0.00,6.39,3.20,8,8
29,,100000,97,1,8,113839,39.94,210048,0.45,6.39,3.42,8,8
30,,100000,97,1,8,113839,39.94,210048,0.00,7.63,3.81,8,8
31,,100000,97,1,8,13839,39.55,210048,0.00,6.45,3.23,8,8
32,,100000,97,1,8,13839,39.55,210048,0.00,6.38,3.19,8,8
33,,100000,97,1,8,113384,39.64,210048,0.00,6.39,3.20,8,8
34,,100000,97,1,8,113839,39.52,210048,0.00,6.39,3.20,7,8
35,,100000,97,1,8,13839,39.30,210048,0.00,6.39,3.20,8,8
36,,100001,96,1,8,13839,39.55,210048,0.00,6.39,3.20,8,8
37,,100454,97,1,8,13384,39.27,210048,0.00,6.39,3.20,8,8
38,,99545,97,1,10,113384,39.15,210048,0.45,6.39,3.42,8,8
39,,100019,97,1,8,,38.82,210048,0.00,7.63,3.81,7,8
40,,99981,97,20,8,,39.61,210048,0.00,6.45,3.23,8,8
41,,100000,97,1,8,,40.42,210048,0.00,6.38,3.19,8,8
42,,100019,97,1,8,,41.06,210048,0.00,6.39,3.20,8,8
43,,100000,97,20,8,,41.70,210048,0.00,6.39,3.20,8,8
44,,100000,97,20,8,,41.39,210048,0.00,6.39,3.20,8,8
45,,100000,97,20,8,,41.30,210048,0.00,6.39,3.20,8,8
46,,100000,97,20,8,,41.48,210048,0.00,6.39,3.20,8,8
47,,100001,96,20,8,,41.33,210048,0.45,6.39,3.42,8,8
48,,100435,97,20,8,,40.97,210048,0.00,7.64,3.82,8,8
49,,99564,97,1,10,,41.03,210048,0.00,6.45,3.23,8,8
50,,99981,97,20,8,,40.73,210048,0.00,6.38,3.19,8,8
51,,100000,97,1,8,,40.67,210048,0.00,6.39,3.20,8,8
52,,100000,97,1,8,,40.67,210048,0.00,6.39,3.20,8,8
53,,100000,97,1,8,,40.36,210048,0.00,6.39,3.20,8,8
54,,100000,97,1,8,,40.36,210048,0.00,6.39,3.20,8,8
55,,100000,97,1,8,,40.36,210048,0.00,6.39,3.20,8,8
56,,100000,97,1,8,,40.27,210048,0.45,6.39,3.42,8,8
57,,100000,97,1,8,,39.94,210048,0.00,7.64,3.82,8,8
58,,100001,96,1,8,,40.12,210048,0.00,6.45,3.23,8,8
59,,100454,97,1,8,,39.97,210048,0.00,6.38,3.19,8,8
60,,99545,97,1,10,,39.55,210048,0.00,6.39,3.20,8,8
61,,100000,97,1,8,,39.52,210048,0.00,6.39,3.20,8,8
62,,100000,97,1,8,,39.55,210048,0.00,6.39,3.20,8,8
63,,100000,97,1,8,,39.55,210048,0.00,6.39,3.20,8,8
64,,100000,97,1,8,,39.21,210048,0.00,6.39,3.20,8,8
65,,100000,97,1,8,,39.15,210048,0.45,6.39,3.42,8,8
66,,100000,97,1,8,,39.15,210048,0.00,7.64,3.82,8,8
67,,100000,97,1,8,,39.18,210048,0.00,6.45,3.23,8,8
68,,100019,97,1,8,,38.82,210048,0.00,6.38,3.19,8,8
69,,99982,96,20,8,,39.94,210048,0.00,6.39,3.20,8,8
70,,100454,97,1,8,,40.33,210048,0.00,6.39,3.20,8,8
71,,99564,97,1,10,,41.39,210048,0.00,6.39,3.20,8,8
72,,100000,97,20,8,,41.82,210048,0.00,6.39,3.20,8,8
73,,100000,97,20,8,,41.42,210048,0.00,6.39,3.20,8,8
74,,100000,97,20,8,,41.48,210048,0.45,6.39,3.42,8,8
75,,100000,97,20,8,,41.48,210048,0.00,7.63,3.81,8,8
76,,99981,97,20,8,,40.97,210048,0.00,6.45,3.23,8,8
77,,100019,97,1,8,,41.06,210048,0.00,6.38,3.19,8,8
78,,100000,97,20,8,,41.09,210048,0.00,6.39,3.20,8,8
79,,99981,97,20,8,,40.73,210048,0.00,6.39,3.20,8,8
80,,100001,97,1,8,,40.97,210048,0.00,6.39,3.20,8,8
81,,100454,97,1,8,,40.76,210048,0.00,6.39,3.20,8,8
82,,99545,97,1,10,,40.36,210048,0.00,6.39,3.20,8,8
83,,100000,97,1,8,,40.27,210048,0.45,6.39,3.42,8,8
84,,100000,97,1,8,,40.21,210048,0.00,7.64,3.82,8,8
85,,100000,97,1,8,,40.33,210048,0.00,6.45,3.23,8,8
86,,100000,97,1,8,,39.94,210048,0.00,6.38,3.19,7,8
87,,100000,97,1,8,,39.88,210048,0.00,6.39,3.20,8,8
88,,100000,97,1,8,,39.91,210048,0.00,6.39,3.20,8,8
89,,100000,97,1,8,,39.97,210048,0.00,6.39,3.20,8,8
90,,100000,97,1,8,,39.52,210048,0.00,6.39,3.20,7,8
91,,100001,97,1,8,,39.94,210048,0.00,6.39,3.20,8,8
92,,100454,97,1,8,,39.55,210048,0.45,6.39,3.42,8,8
93,,99545,97,1,10,,39.27,210048,1.22,7.54,4.38,8,8
94,,100000,97,1,8,,39.12,210048,0.00,6.54,3.27,8,8
95,,100000,97,1,8,,39.21,210048,0.00,6.38,3.19,8,8
96,,100000,97,1,8,,39.15,210048,0.00,6.39,3.20,7,8
97,,100020,97,1,8,,38.70,210048,0.00,6.39,3.20,8,8
98,,99980,97,20,8,,39.55,210048,0.00,6.39,3.20,8,8
99,,100000,97,1,8,,40.36,210048,0.00,6.39,3.20,7,8
100,,100019,97,1,8,,41.48,210048,0.00,6.39,3.20,8,8
101,,100000,97,20,8,,41.82,210048,0.45,6.39,3.42,8,8
102,,100002,97,20,8,,41.70,210048,0.00,6.39,3.20,8,8
103,,100454,97,20,8,,41.39,210048,0.00,7.64,3.82,8,8
104,,99544,97,20,10,,41.52,210048,0.00,6.49,3.25,8,8
105,,99981,97,20,8,,41.00,210048,0.00,6.39,3.20,8,8
106,,100019,97,1,8,,41.12,210048,0.00,6.39,3.20,8,8
107,,100000,97,20,8,,41.12,210048,0.00,6.39,3.20,8,8
108,,99981,97,20,8,,40.79,210048,0.00,6.39,3.20,8,8
109,,100000,97,1,8,,40.73,210048,0.00,6.39,3.20,8,8
110,,100000,97,1,8,,40.76,210048,0.00,6.39,3.20,8,8
