index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100169407,101085,62,115,47,31224,39.15,129200,0.00,15.65,7.83,4,5
1,,99290,62,53,32,30072,40.24,129200,0.00,15.65,7.83,4,4
2,,100000,61,45,31,30774,32.27,129200,1.31,15.65,8.48,4,4
3,,100685,62,45,31,30774,33.36,129200,0.00,15.65,7.83,4,5
4,,99315,62,44,33,30096,34.48,129200,0.74,16.29,8.51,4,5
5,,100000,61,45,31,30774,35.27,129200,0.00,15.77,7.88,4,4
6,,100685,62,45,31,30773,36.36,129200,0.00,15.68,7.84,4,5
7,,99315,61,44,33,30096,37.48,129200,0.00,15.65,7.83,4,4
8,,99968,61,45,31,30774,38.00,129200,0.00,15.65,7.83,4,4
9,,100678,62,13,31,30773,39.21,129200,0.00,15.65,7.83,4,5
10,,99322,62,12,32,30774,39.85,129200,1.31,15.65,8.48,4,5
11,,100032,62,13,31,130773,40.91,129200,0.00,15.65,7.83,4,5
12,,100685,61,45,31,130774,41.73,129200,0.00,15.65,7.83,4,4
13,,99315,62,44,33,130773,41.94,129200,0.00,16.41,8.20,4,5
14,,100000,61,45,31,30773,42.12,129200,0.00,15.68,7.84,4,4
15,,100685,62,45,31,30774,41.91,129200,0.00,15.65,7.83,4,5
16,,99315,62,44,33,130773,41.73,129200,0.00,15.65,7.83,4,5
17,,100000,61,45,31,130773,41.73,129200,0.00,15.65,7.83,4,4
18,,100685,62,45,31,30774,41.48,129200,0.00,15.65,7.83,4,5
19,,99315,61,44,33,30774,41.39,129200,1.67,15.66,8.67,4,4
20,,100000,61,45,31,130097,41.33,129200,0.00,15.65,7.83,4,4
21,,100685,62,45,31,130096,41.09,129200,0.00,16.41,8.20,4,5
22,,99315,62,44,33,30097,41.09,129200,0.00,15.68,7.84,4,5
23,,99968,61,44,31,30097,41.09,129200,0.00,15.65,7.83,4,4
24,,100678,62,13,31,130773,40.67,129200,0.00,15.65,7.83,4,5
25,,99322,62,12,33,130773,40.70,129200,0.00,15.65,7.83,4,4
26,,100000,61,13,31,30774,40.76,129200,0.00,15.65,7.83,4,4
27,,100678,62,13,31,30774,40.36,129200,1.31,15.65,8.48,4,5
28,,99322,61,12,32,130773,40.24,129200,0.00,15.65,7.83,4,4
29,,100000,61,13,31,130773,40.36,129200,0.74,16.29,8.51,4,4
30,,100678,61,13,31,30774,40.33,129200,0.00,15.77,7.88,4,4
31,,99322,61,12,33,30774,39.94,129200,0.00,15.68,7.84,4,4
32,,100000,62,13,31,130096,39.91,129200,0.00,15.65,7.83,4,5
33,,100678,61,13,31,130773,39.94,129200,0.00,15.65,7.83,4,4
34,,99322,62,12,33,130773,39.61,129200,0.00,15.65,7.83,4,5
35,,100000,62,13,31,130773,39.61,129200,1.31,15.65,8.48,4,5
36,,100678,61,13,31,30773,39.52,129200,0.00,15.65,7.83,4,4
37,,99322,62,13,33,130773,39.48,129200,0.00,15.65,7.83,4,5
38,,100000,61,13,31,130773,39.21,129200,0.00,16.39,8.20,4,4
39,,100678,62,13,31,30773,39.15,129200,0.00,15.68,7.84,4,5
40,,99354,61,12,33,30773,39.15,129200,0.00,15.65,7.83,4,4
