index,exec_time_us,loop_time_us,adc_time_us,heater_time_us,temp_get_time_us,e2e_time_us,temp_c,free_heap,cpu_core0,cpu_core1,cpu_overall,temp_mutex_wait,metrics_mutex_wait
0,100168293,100750,62,476,75,130715,41.09,133956,0.00,15.57,7.79,4,5
1,,100244,62,114,98,29650,40.76,133956,0.00,15.57,7.79,4,4
2,,100000,62,104,72,29650,32.39,133956,2.52,15.57,9.05,4,5
3,,100000,62,104,72,29650,33.39,133956,0.00,15.57,7.79,4,5
4,,100000,62,104,71,29650,34.18,133956,0.74,16.20,8.47,4,4
5,,100000,62,104,71,29650,35.21,133956,0.00,15.68,7.84,4,5
6,,100000,62,104,71,29650,36.36,133956,0.00,15.60,7.80,4,5
7,,100000,62,104,72,29650,37.21,133956,0.00,15.57,7.79,4,5
8,,100000,62,104,72,29650,38.21,133956,0.00,15.57,7.79,4,5
9,,100065,62,104,72,129658,38.82,133956,0.00,15.57,7.79,4,5
10,,99886,62,149,71,129658,40.03,133956,2.52,15.57,9.05,4,5
11,,100062,62,35,87,129658,40.76,133956,0.00,15.57,7.79,4,5
12,,99996,62,117,71,129658,41.79,133956,0.00,15.57,7.79,4,5
13,,100000,62,113,72,129658,42.61,133956,0.00,16.33,8.16,4,5
14,,100000,62,113,72,129658,42.64,133956,0.00,15.60,7.80,4,5
15,,100000,62,113,72,129658,42.58,133956,0.00,15.57,7.79,4,5
16,,100000,62,113,71,129658,42.27,133956,0.00,15.57,7.79,4,5
17,,100000,62,113,71,129658,42.21,133956,0.00,15.57,7.79,4,5
18,,100000,62,113,71,129658,41.97,133956,0.00,15.57,7.79,4,5
19,,100000,62,113,72,129658,41.85,133956,2.52,15.57,9.05,4,5
20,,100000,62,113,72,129658,41.82,133956,0.00,15.57,7.79,4,5
21,,100000,62,113,72,129658,41.55,133956,0.00,16.33,8.16,4,5
22,,100000,62,113,71,129658,41.48,133956,0.00,15.60,7.80,4,5
23,,100000,62,113,71,129658,41.52,133956,0.00,15.57,7.79,4,5
24,,100000,62,113,71,129658,41.12,133956,0.00,15.57,7.79,4,5
25,,100000,62,113,72,129658,41.03,133956,0.00,15.57,7.79,4,5
26,,99910,62,113,72,129658,41.15,133956,0.00,15.57,7.79,4,5
27,,99992,62,43,72,129658,40.76,133956,2.52,15.57,9.05,4,5
28,,100000,62,35,71,129658,40.82,133956,0.00,15.57,7.79,4,5
29,,100000,62,35,71,129658,40.76,133956,0.74,16.20,8.47,4,5
30,,100000,62,35,71,129658,40.76,133956,0.00,15.68,7.84,4,5
31,,100000,62,35,72,129658,40.36,133956,0.00,15.60,7.80,4,5
32,,100000,62,35,72,129658,40.33,133956,0.00,15.57,7.79,4,5
33,,100000,62,35,72,129658,40.27,133956,0.00,15.57,7.79,4,5
34,,100000,62,35,71,129658,40.00,133956,0.00,15.57,7.79,4,5
35,,100000,62,35,71,129658,39.94,133956,2.52,15.57,9.05,4,5
36,,100000,62,35,71,,39.94,133956,0.00,15.57,7.79,4,5
37,,100000,62,35,72,,39.58,133956,0.00,15.57,7.79,4,5
38,,100000,62,35,72,,39.55,133956,0.00,16.33,8.16,4,5
39,,100000,62,35,72,,39.67,133956,0.00,15.60,7.80,4,5
40,,100000,62,35,71,,39.52,133956,0.00,15.57,7.79,4,4
41,,100000,62,35,71,,39.15,133956,0.00,15.57,7.79,4,5
42,,100000,62,35,71,,39.15,133956,0.00,15.57,7.79,4,5
43,,100000,62,35,72,,39.18,133956,0.00,15.57,7.79,4,5
44,,100000,62,35,72,,39.21,133956,2.52,15.57,9.05,4,5
45,,100081,62,35,72,,39.06,133956,0.00,15.57,7.79,4,5
46,,100008,62,96,71,,38.85,133956,0.00,16.33,8.16,4,5
47,,99919,62,104,71,,38.88,133956,0.00,15.60,7.80,4,5
48,,99992,62,43,71,,39.55,133956,0.00,15.57,7.79,4,5
49,,100090,62,35,72,,40.76,133956,0.00,15.57,7.79,4,5
50,,100008,62,105,72,,41.48,133956,0.00,15.57,7.79,4,5
51,,100000,62,113,72,,42.42,133956,0.00,15.57,7.79,4,5
52,,100000,62,113,71,,42.30,133956,2.52,15.57,9.05,4,5
53,,100000,62,113,71,,42.21,133956,0.00,15.57,7.79,4,5
54,,100000,62,113,71,,42.09,133956,0.74,16.20,8.47,4,5
55,,100000,62,113,72,,41.73,133956,0.00,15.68,7.84,4,5
56,,100000,62,113,72,,41.82,133956,0.00,15.60,7.80,4,5
57,,100000,62,113,72,,41.55,133956,0.00,15.57,7.79,4,5
58,,100000,62,113,71,,41.39,133956,0.00,15.57,7.79,4,5
59,,100000,62,113,71,,41.55,133956,0.00,15.57,7.79,4,5
60,,100000,62,113,71,,41.52,133956,2.52,15.57,9.05,4,5
61,,100000,62,113,72,,41.12,133956,0.00,15.57,7.79,4,4
62,,100000,62,113,72,,41.12,133956,0.00,15.57,7.79,4,5
63,,99910,62,113,72,,41.09,133956,0.00,16.33,8.16,4,5
64,,99992,62,43,71,,40.64,133956,0.00,15.60,7.80,4,5
65,,100000,62,35,71,,40.76,133956,0.00,15.57,7.79,4,5
66,,100000,62,35,71,,40.64,133956,0.00,15.57,7.79,4,5
67,,100000,62,35,72,,40.48,133956,0.00,15.57,7.79,4,5
68,,100000,62,35,72,,40.36,133956,0.00,15.57,7.79,4,5
69,,100000,62,35,72,,40.45,133956,2.52,15.57,9.05,4,5
70,,100000,62,35,71,,39.91,133956,0.00,15.57,7.79,4,5
71,,100000,62,35,71,,40.00,133956,0.00,16.33,8.16,4,5
72,,100000,62,35,71,,39.94,133956,0.00,15.60,7.80,4,4
73,,100000,62,35,72,,40.03,133956,0.00,15.57,7.79,4,5
74,,100000,62,35,72,,39.52,133956,0.00,15.57,7.79,4,5
75,,100000,62,35,72,,39.52,133956,0.00,15.57,7.79,4,4
76,,100000,62,35,71,,39.67,133956,0.00,15.57,7.79,4,5
77,,100000,62,35,71,,39.52,133956,2.52,15.57,9.05,4,5
78,,100000,62,35,71,,39.18,133956,0.00,15.57,7.79,4,5
79,,100000,62,35,72,,39.18,133956,0.74,16.20,8.47,4,5
80,,100081,62,35,72,,39.21,133956,0.00,15.68,7.84,4,5
81,,100008,62,96,72,,38.88,133956,0.00,15.60,7.80,4,5
82,,99919,62,104,71,,38.94,133956,0.00,15.57,7.79,4,5
83,,99992,62,43,71,,39.91,133956,0.00,15.57,7.79,4,5
84,,100090,62,35,71,,40.73,133956,0.00,15.57,7.79,4,5
85,,100008,62,105,72,,41.70,133956,2.52,15.57,9.05,4,5
86,,100000,62,113,72,,42.55,133956,0.00,15.57,7.79,4,5
87,,100000,62,113,72,,42.61,133956,0.00,15.57,7.79,4,4
88,,100000,62,113,71,,42.18,133956,0.00,16.33,8.16,4,5
89,,100000,62,113,71,,42.18,133956,0.00,15.60,7.80,4,5
90,,100000,62,113,71,,42.12,133956,0.00,15.57,7.79,4,5
91,,100000,62,113,72,,41.94,133956,0.00,15.57,7.79,4,5
92,,100000,62,113,72,,41.79,133956,0.00,15.57,7.79,4,5
93,,100000,62,113,72,,41.79,133956,0.00,15.57,7.79,4,5
94,,100000,62,113,71,,41.39,133956,3.18,15.57,9.38,4,5
95,,100000,62,113,71,,41.48,133956,0.00,15.57,7.79,4,5
96,,100000,62,113,71,,41.39,133956,0.00,16.33,8.16,4,5
97,,100000,62,113,72,,41.12,133956,0.00,15.60,7.80,4,4
98,,99910,62,113,72,,41.09,133956,0.00,15.57,7.79,4,5
99,,99992,62,43,72,,41.00,133956,0.00,15.57,7.79,4,5
100,,100000,62,35,71,,40.73,133956,0.00,15.57,7.79,4,5
101,,100000,62,35,71,,40.76,133956,0.00,15.57,7.79,4,5
102,,100000,62,35,71,,40.73,133956,3.25,15.57,9.41,4,5
103,,100000,62,35,72,,40.33,133956,0.00,15.57,7.79,4,5
104,,100000,62,35,72,,40.36,133956,0.74,16.20,8.47,4,5
105,,100000,62,35,72,,40.33,133956,0.00,15.69,7.85,4,5
106,,100000,62,35,71,,39.97,133956,0.00,15.60,7.80,4,5
107,,100000,62,35,71,,39.91,133956,0.00,15.57,7.79,4,5
108,,100000,62,35,71,,39.94,133956,0.00,15.57,7.79,4,5
109,,100000,62,35,72,,39.94,133956,0.00,15.57,7.79,4,5
110,,100000,62,35,72,,39.55,133956,2.57,15.57,9.07,4,5
111,,100000,62,35,72,,39.52,133956,0.00,15.57,7.79,4,5
112,,100000,62,35,71,,39.55,133956,0.00,15.57,7.79,4,5
113,,100000,62,35,71,,39.48,133956,0.00,16.33,8.16,4,5
114,,100000,62,35,71,,39.12,133956,0.00,15.60,7.80,4,5
115,,100000,62,35,72,,39.18,133956,0.00,15.57,7.79,4,5
116,,100081,62,35,72,,39.42,133956,0.00,15.57,7.79,4,5
117,,100008,62,96,72,,38.76,133956,0.00,15.57,7.79,4,5
118,,99919,62,104,71,,38.79,133956,0.00,15.57,7.79,4,5
119,,99992,62,43,71,,39.97,133956,2.52,15.57,9.05,4,5
120,,100090,62,35,71,,40.73,133956,0.00,15.57,7.79,4,5
121,,100008,62,105,72,,41.79,133956,0.00,16.33,8.16,4,5
122,,100000,62,113,72,,42.42,133956,0.00,15.60,7.80,4,5
123,,100000,62,113,72,,42.39,133956,0.00,15.57,7.79,4,5
124,,100000,62,113,71,,42.21,133956,0.00,15.57,7.79,4,5
125,,100000,62,113,71,,42.33,133956,0.00,15.57,7.79,4,5
126,,100000,62,113,71,,42.18,133956,0.00,15.57,7.79,4,5
127,,100000,62,113,72,,41.64,133956,3.26,15.57,9.42,4,5
128,,100000,62,113,72,,41.82,133956,0.00,15.57,7.79,4,5
129,,100000,62,113,72,,41.73,133956,0.74,16.20,8.47,4,5
130,,100000,62,113,71,,41.52,133956,0.00,15.68,7.84,4,5
131,,100000,62,113,71,,41.48,133956,0.00,15.60,7.80,4,5
132,,100000,62,113,71,,41.52,133956,0.00,15.57,7.79,4,4
133,,99910,62,113,72,,41.12,133956,0.00,15.57,7.79,4,5
134,,100082,62,43,72,,40.91,133956,0.00,15.57,7.79,4,5
135,,99918,62,105,72,,41.09,133956,3.32,15.57,9.45,4,5
136,,99992,62,43,71,,40.73,133956,0.00,15.57,7.79,4,5
137,,100000,62,35,71,,40.82,133956,0.00,15.57,7.79,4,5
138,,100000,62,35,71,,40.76,133956,0.00,16.33,8.16,4,5
139,,100000,62,35,72,,40.36,133956,0.00,15.60,7.80,4,5
140,,100000,62,35,72,,40.36,133956,0.00,15.57,7.79,4,4
141,,100000,62,35,72,,40.48,133956,0.00,15.57,7.79,4,5
142,,100000,62,35,71,,39.94,133956,0.00,15.57,7.79,4,5
143,,100000,62,35,71,,39.88,133956,0.00,15.57,7.79,4,5
144,,100000,62,35,71,,39.94,133956,3.32,15.57,9.45,4,5
145,,100000,62,35,72,,39.91,133956,0.00,15.57,7.79,4,5
146,,100000,62,35,72,,39.58,133956,0.00,16.33,8.16,4,5
147,,100000,62,35,72,,39.58,133956,0.00,15.60,7.80,4,5
148,,100000,62,35,71,,39.55,133956,0.00,15.57,7.79,4,5
